Feature,Importance
CDKN2A,0.22583220153662842
MELK,0.0251934916486498
GATA3-AS1,0.023335280962819525
RHOB,0.021156461015129024
S100B,0.018988527694597905
CPEB3,0.015585820966865867
NOVA1,0.013812943867393642
BUB1B,0.012531989195849746
PLAGL1,0.012260582441745781
CDC25C,0.011931349801598117
NUDT12,0.011331193117715032
COQ7,0.0101706863571672
FBXL17,0.009830375847348478
PGR,0.009333161936594479
ZNF619,0.009206394634733443
PYCARD,0.00915973766557272
NEK10,0.00903856342617746
EPHX2,0.008597141037023904
MMP7,0.008571853476778947
ZNF417,0.008446877801034133
AR,0.0084012735233664
SLC2A10,0.007639817359042695
CXXC5,0.007533003342139864
GLUL,0.007515312438946467
ACTB,0.007402694518546924
DAPK1,0.007341936991550028
AGO2,0.007247870671455985
RBM38,0.007178471140425245
KLF2,0.00709909975323535
MSN,0.00703905669277583
S100A8,0.006925425369257368
SIRPA,0.006905006427327805
NKX1-2,0.006879828927469162
NEK4,0.0068289498028934765
NEK11,0.006727450881196773
PARP3,0.006723011668812189
AURKA,0.006587622379011009
TFCP2L1,0.006427814849134621
SFRP4,0.0063774987737124315
ATP8B1,0.006239820833415479
ZNF396,0.006232247798208846
TAL1,0.006182759694591823
ZNF442,0.006175817129405914
TAF5L,0.0061598258388112295
BLM,0.0060688106337911454
COL4A4,0.005973883566213771
PLK1,0.005960859918384813
PADI2,0.005928687825656546
EIF1,0.00586148395406417
ORC1,0.005809412009897642
MED7,0.00580402899145247
ZNF609,0.005775221290183253
EGR3,0.005772010873255624
LAMA2,0.005738578929376672
RGMA,0.005683192642429731
FOXC1,0.00564790920511522
ENPP1,0.005463671367659117
RRP1B,0.005448114184197038
GPRC5B,0.005439097582965588
AGR2,0.005400943783033228
LAMC2,0.005364881481502749
ELF5,0.00534350741774701
LRP8,0.005329752728309359
PCBD2,0.005296386771236257
CREBL2,0.005232355537183079
CCNE1,0.00511816510108838
LILRB2,0.005091570488817524
ZNF214,0.004988805413813679
NLRC5,0.004978306245923363
MAPK4,0.004911638840286401
MATR3,0.004907966065089567
IGF1R,0.00490264229825786
SOX6,0.004861646889625831
HOXD8,0.0048144186824793
EGR1,0.004812544038238784
CREB3L4,0.004801305414098067
JUN,0.004780020625169463
RAD54L,0.004737721760495334
PDE2A,0.004705946447065798
SIRT1,0.0047024375654582395
SETD7,0.004652820046150736
SMAD5,0.004535806396578664
RCHY1,0.004406106712227938
BCL11A,0.004381517463491036
ADAMTS15,0.004380819005568924
ZBED4,0.004372748168330873
ESR1,0.004365761297841062
ATAD2,0.004353573202317193
FGF10,0.004338837637144025
LARP4,0.004326766208541812
ZNF213,0.004258146370004397
SOX10,0.004236693381331974
LAMP3,0.004187202352972236
ADAMTS3,0.00418457800213946
ZNF184,0.004178950824396452
SKI,0.004164216315861268
MAP3K12,0.0041541796384757385
NEK1,0.004120735796943336
AURKB,0.004097266454977216
CAD,0.00407327614579117
GATA3,0.004058723382349853
ZCCHC4,0.004044388357899152
MYBL1,0.004035900047165341
HOXB3,0.004027248977336513
CPSF3,0.004022683253147988
ROR1,0.004015111021874873
FOXA1,0.004006865423025602
CIRBP,0.003996091328408511
SFRP1,0.0038669200718702825
COL1A2,0.00385984428833126
