source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
CAPN15	A1BG	CAPN15	A1BG	0.1717	0.2230	0.3071	0.3018	0.0187
CAPN15	A2ML1	CAPN15	A2ML1	0.1835	0.2448	0.2598	0.5557	0.0096
CAPN15	AACS	CAPN15	AACS	0.2493	0.4687	0.5017	0.3844	0.0000
CAPN15	AARS1	CAPN15	AARS1	0.4327	0.4988	0.5901	0.4677	0.0000
CAPN15	ABAT	CAPN15	ABAT	0.2376	0.4105	0.4732	0.3739	0.0000
CAPN15	ABCA7	CAPN15	ABCA7	0.3702	0.6987	0.6734	0.6792	0.0000
CAPN15	ABCB1	CAPN15	ABCB1	0.2362	-0.2574	-0.3042	-0.6545	0.0064
CAPN15	ABCB10	CAPN15	ABCB10	0.3918	0.2128	0.2492	0.2315	0.0249
CAPN15	ABCB7	CAPN15	ABCB7	0.3352	0.3593	0.4652	0.2392	0.0001
CAPN15	ABCB8	CAPN15	ABCB8	0.2000	0.4574	0.4683	0.2879	0.0000
CAPN15	ABCC10	CAPN15	ABCC10	0.2891	0.6833	0.6733	0.4876	0.0000
CAPN15	ABCC5	CAPN15	ABCC5	0.4311	0.6109	0.6563	0.7618	0.0000
CAPN15	ABCC6	CAPN15	ABCC6	0.1665	0.4228	0.4868	0.4424	0.0000
CAPN15	ABCD1	CAPN15	ABCD1	0.2981	0.6404	0.5469	0.7143	0.0000
CAPN15	ABCD2	CAPN15	ABCD2	0.1710	0.4276	0.5734	0.7365	0.0000
CAPN15	ABCF2	CAPN15	ABCF2	0.2716	0.3800	0.5413	0.2819	0.0000
CAPN15	ABHD1	CAPN15	ABHD1	0.1910	0.3218	0.3221	0.4507	0.0006
CAPN15	ABHD10	CAPN15	ABHD10	0.4366	0.3920	0.4814	0.3840	0.0000
CAPN15	ABHD11	CAPN15	ABHD11	0.2865	0.2083	0.2487	0.2137	0.0282
CAPN15	ABHD12	CAPN15	ABHD12	0.2784	0.5739	0.6796	0.4023	0.0000
CAPN15	ABHD12B	CAPN15	ABHD12B	0.1883	0.3371	0.4517	0.7492	0.0003
CAPN15	ABHD13	CAPN15	ABHD13	0.1644	0.1075	0.1053	0.0862	0.2615
CAPN15	ABHD14A	CAPN15	ABHD14A	0.3963	0.6673	0.6375	0.7429	0.0000
CAPN15	ABHD3	CAPN15	ABHD3	0.1654	0.2771	0.3883	0.2165	0.0032
CAPN15	ABHD8	CAPN15	ABHD8	0.4954	0.7561	0.7397	0.9773	0.0000
CAPN15	ABRA	CAPN15	ABRA	0.3588	0.3531	0.4311	0.6303	0.0001
CAPN15	ABTB1	CAPN15	ABTB1	0.6459	0.7481	0.7480	0.6086	0.0000
CAPN15	ACAD10	CAPN15	ACAD10	0.2746	0.6391	0.7127	0.4866	0.0000
CAPN15	ACAD8	CAPN15	ACAD8	0.4394	0.3413	0.4192	0.2256	0.0002
CAPN15	ACADS	CAPN15	ACADS	0.2056	0.6067	0.5791	0.5993	0.0000
CAPN15	ACADSB	CAPN15	ACADSB	0.2479	0.4098	0.4706	0.3002	0.0000
CAPN15	ACADVL	CAPN15	ACADVL	0.3539	0.3894	0.4299	0.3269	0.0000
CAPN15	ACAP1	CAPN15	ACAP1	0.2084	0.5719	0.5696	0.5544	0.0000
CAPN15	ACAT1	CAPN15	ACAT1	0.6085	0.2581	0.3412	0.2089	0.0062
CAPN15	ACAT2	CAPN15	ACAT2	0.2383	0.2593	0.2966	0.1768	0.0060
CAPN15	ACBD3	CAPN15	ACBD3	0.1448	0.2807	0.3999	0.1962	0.0028
CAPN15	ACBD4	CAPN15	ACBD4	0.2863	0.6846	0.6310	0.6898	0.0000
CAPN15	ACBD6	CAPN15	ACBD6	0.3952	0.5510	0.6478	0.6590	0.0000
CAPN15	ACER2	CAPN15	ACER2	0.2717	0.3503	0.3883	0.3541	0.0002
CAPN15	ACLY	CAPN15	ACLY	0.4431	0.5400	0.7055	0.3791	0.0000
CAPN15	ACO2	CAPN15	ACO2	0.2567	0.4616	0.5441	0.2981	0.0000
CAPN15	ACOT11	CAPN15	ACOT11	0.1726	0.0903	0.0965	0.1383	0.3458
CAPN15	ACOT13	CAPN15	ACOT13	0.5460	0.4576	0.5517	0.3993	0.0000
CAPN15	ACOT7	CAPN15	ACOT7	0.4698	0.6803	0.6458	0.6929	0.0000
CAPN15	ACOT8	CAPN15	ACOT8	0.4072	0.6123	0.7083	0.4258	0.0000
CAPN15	ACOX3	CAPN15	ACOX3	0.4049	0.4695	0.5221	0.3187	0.0000
