source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
CFH	A2M-AS1	CFH	A2M-AS1	0.2476	0.1644	0.1983	0.1205	0.0847
CFH	A2ML1	CFH	A2ML1	0.2008	-0.1686	-0.1088	-0.1450	0.0768
CFH	AAK1	CFH	AAK1	0.2159	0.5032	0.5103	0.2448	0.0000
CFH	AASS	CFH	AASS	0.2118	0.1058	0.1841	0.1614	0.2690
CFH	ABCA9	CFH	ABCA9	0.1685	-0.1318	-0.1103	-0.0795	0.1681
CFH	ABCC5	CFH	ABCC5	0.3448	0.1745	0.1329	0.0824	0.0670
CFH	ABCD2	CFH	ABCD2	0.1856	0.2320	0.2170	0.1514	0.0143
CFH	ABCF2	CFH	ABCF2	0.2205	0.1772	0.1582	0.0498	0.0628
CFH	ABCF3	CFH	ABCF3	0.1813	0.1070	0.1303	0.0262	0.2636
CFH	ABHD10	CFH	ABHD10	0.1608	0.1960	0.1915	0.0727	0.0393
CFH	ABHD17AP4	CFH	ABHD17AP4	0.1915	0.1588	0.1830	0.2418	0.0959
CFH	ABI3	CFH	ABI3	0.1910	0.4303	0.4147	0.4259	0.0000
CFH	ABLIM3	CFH	ABLIM3	0.2575	0.4663	0.4586	0.2983	0.0000
CFH	ABTB3	CFH	ABTB3	0.2622	0.6302	0.6330	0.6168	0.0000
CFH	ACAA2P1	CFH	ACAA2P1	0.2573	-0.0339	0.0150	-0.0235	0.7240
CFH	ACADS	CFH	ACADS	0.2218	0.3217	0.3403	0.1204	0.0006
CFH	ACADSB	CFH	ACADSB	0.3523	0.3225	0.3225	0.0895	0.0006
CFH	ACADVL	CFH	ACADVL	0.2502	0.0968	0.1064	0.0308	0.3123
CFH	ACE2	CFH	ACE2	0.2265	0.1155	0.1390	0.0722	0.2274
CFH	ACER1	CFH	ACER1	0.2623	0.3352	0.3206	0.1831	0.0003
CFH	ACER2	CFH	ACER2	0.2466	0.0935	0.1295	0.0358	0.3288
CFH	ACHE	CFH	ACHE	0.1548	0.1118	0.1621	0.0858	0.2427
CFH	ACKR1	CFH	ACKR1	0.2447	0.0686	0.0933	0.0461	0.4744
CFH	ACO1	CFH	ACO1	0.1886	0.2084	0.2329	0.0570	0.0282
CFH	ACOT11	CFH	ACOT11	0.1974	0.4043	0.4178	0.2345	0.0000
CFH	ACOXL-AS1	CFH	ACOXL-AS1	0.1794	-0.0295	-0.0397	-0.0173	0.7587
CFH	ACP2	CFH	ACP2	0.1467	0.3361	0.3449	0.0873	0.0003
