source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
GCFC2	A2M	GCFC2	A2M	0.1816	0.1711	0.1760	0.3974	0.0726
GCFC2	A2M-AS1	GCFC2	A2M-AS1	0.1793	0.2457	0.2489	0.6657	0.0093
GCFC2	AAK1	GCFC2	AAK1	0.1550	0.1957	0.2107	0.3521	0.0396
GCFC2	AARS1	GCFC2	AARS1	0.2902	0.5300	0.5328	0.6961	0.0000
GCFC2	AATK	GCFC2	AATK	0.2098	0.1191	0.1116	0.4968	0.2130
GCFC2	ABAT	GCFC2	ABAT	0.2515	0.5701	0.5788	0.7273	0.0000
GCFC2	ABCA7	GCFC2	ABCA7	0.1958	0.3024	0.3386	0.4116	0.0013
GCFC2	ABCA9	GCFC2	ABCA9	0.1527	0.4030	0.4173	0.8988	0.0000
GCFC2	ABCB6	GCFC2	ABCB6	0.3817	0.3422	0.2469	0.4009	0.0002
GCFC2	ABCB8	GCFC2	ABCB8	0.3027	0.4549	0.4053	0.4011	0.0000
GCFC2	ABCB9	GCFC2	ABCB9	0.2407	-0.0398	-0.0324	-0.0965	0.6783
GCFC2	ABCC10	GCFC2	ABCC10	0.3246	0.5857	0.5967	0.5854	0.0000
GCFC2	ABCC5	GCFC2	ABCC5	0.3007	0.4356	0.4673	0.7608	0.0000
GCFC2	ABCC6	GCFC2	ABCC6	0.1661	0.4003	0.4118	0.5867	0.0000
GCFC2	ABCD3	GCFC2	ABCD3	0.2162	0.4973	0.5928	0.6496	0.0000
GCFC2	ABCE1	GCFC2	ABCE1	0.2823	0.5071	0.4014	0.5175	0.0000
GCFC2	ABCF2	GCFC2	ABCF2	0.2646	0.5353	0.4970	0.5562	0.0000
GCFC2	ABCG1	GCFC2	ABCG1	0.1696	-0.0146	-0.0750	-0.0270	0.8788
GCFC2	ABCG4	GCFC2	ABCG4	0.2634	-0.0636	-0.0412	-0.1346	0.5075
GCFC2	ABHD1	GCFC2	ABHD1	0.2154	0.2652	0.3411	0.5201	0.0049
GCFC2	ABHD10	GCFC2	ABHD10	0.2265	0.3806	0.3521	0.5222	0.0000
GCFC2	ABHD12	GCFC2	ABHD12	0.1774	0.2398	0.2676	0.2354	0.0113
GCFC2	ABHD14A	GCFC2	ABHD14A	0.2433	0.4039	0.4477	0.6298	0.0000
GCFC2	ABHD14A-ACY1	GCFC2	ABHD14A-ACY1	0.1844	0.3919	0.3944	0.6984	0.0000
GCFC2	ABHD14B	GCFC2	ABHD14B	0.2088	0.4758	0.4857	0.5680	0.0000
GCFC2	ABHD17AP6	GCFC2	ABHD17AP6	0.1659	0.1744	0.1561	1.0744	0.0672
GCFC2	ABHD17B	GCFC2	ABHD17B	0.1716	-0.0511	-0.0494	-0.0965	0.5943
GCFC2	ABHD8	GCFC2	ABHD8	0.2612	0.3960	0.4210	0.7170	0.0000
GCFC2	ABO	GCFC2	ABO	0.2778	0.1150	0.1271	0.4301	0.2293
GCFC2	ABTB1	GCFC2	ABTB1	0.1477	0.3266	0.3465	0.3721	0.0005
GCFC2	ABTB3	GCFC2	ABTB3	0.2821	-0.1083	-0.0902	-0.3920	0.2578
GCFC2	ACAD10	GCFC2	ACAD10	0.2904	0.4001	0.4214	0.4266	0.0000
GCFC2	ACAD8	GCFC2	ACAD8	0.2409	0.5234	0.5277	0.4845	0.0000
GCFC2	ACADM	GCFC2	ACADM	0.4797	0.6921	0.6763	1.0909	0.0000
GCFC2	ACADSB	GCFC2	ACADSB	0.3446	0.6437	0.6534	0.6603	0.0000
GCFC2	ACAP2-IT1	GCFC2	ACAP2-IT1	0.1584	0.4777	0.4510	1.2703	0.0000
GCFC2	ACAT1	GCFC2	ACAT1	0.3419	0.5241	0.5545	0.5941	0.0000
GCFC2	ACAT2	GCFC2	ACAT2	0.2625	0.4566	0.3990	0.4360	0.0000
GCFC2	ACBD4	GCFC2	ACBD4	0.3873	0.4749	0.5270	0.6702	0.0000
GCFC2	ACBD6	GCFC2	ACBD6	0.4108	0.5446	0.5903	0.9122	0.0000
GCFC2	ACER2	GCFC2	ACER2	0.1756	0.6169	0.5700	0.8734	0.0000
GCFC2	ACER3	GCFC2	ACER3	0.2883	0.6795	0.6456	0.7767	0.0000
GCFC2	ACKR2	GCFC2	ACKR2	0.2189	0.3433	0.3035	0.7604	0.0002
GCFC2	ACLY	GCFC2	ACLY	0.1952	0.5729	0.5137	0.5634	0.0000
GCFC2	ACO2	GCFC2	ACO2	0.2537	0.4095	0.3080	0.3704	0.0000
GCFC2	ACOT11	GCFC2	ACOT11	0.1535	0.0753	0.0347	0.1615	0.4322
GCFC2	ACOT13	GCFC2	ACOT13	0.4498	0.6668	0.6350	0.8148	0.0000
GCFC2	ACOT7	GCFC2	ACOT7	0.3812	0.3798	0.4214	0.5418	0.0000
GCFC2	ACOT8	GCFC2	ACOT8	0.1763	0.4764	0.4215	0.4641	0.0000
GCFC2	ACOT9	GCFC2	ACOT9	0.1597	0.1684	0.1620	0.2062	0.0772
GCFC2	ACOX3	GCFC2	ACOX3	0.1895	0.4417	0.4127	0.4199	0.0000
GCFC2	ACP6	GCFC2	ACP6	0.1879	0.5124	0.5332	1.0247	0.0000
GCFC2	ACRBP	GCFC2	ACRBP	0.2853	0.3219	0.3062	0.5086	0.0006
GCFC2	ACSBG2	GCFC2	ACSBG2	0.1987	0.4288	0.4490	1.0095	0.0000
GCFC2	ACSF3	GCFC2	ACSF3	0.1948	0.4843	0.4685	0.5050	0.0000
GCFC2	ACSL5	GCFC2	ACSL5	0.4030	0.6858	0.6739	0.6053	0.0000
GCFC2	ACSM6	GCFC2	ACSM6	0.1668	0.3911	0.3468	0.9487	0.0000
GCFC2	ACSS1	GCFC2	ACSS1	0.2465	0.5166	0.5114	0.5594	0.0000
GCFC2	ACSS2	GCFC2	ACSS2	0.2576	0.2608	0.3121	0.3704	0.0057
GCFC2	ACTA2	GCFC2	ACTA2	0.1481	0.5041	0.5694	0.9023	0.0000
GCFC2	ACTB	GCFC2	ACTB	0.2015	0.3215	0.3173	0.3544	0.0006
GCFC2	ACTG1P17	GCFC2	ACTG1P17	0.1945	0.4563	0.5113	0.7929	0.0000
GCFC2	ACTG1P24	GCFC2	ACTG1P24	0.3695	0.3903	0.4355	0.8783	0.0000
GCFC2	ACTL6A	GCFC2	ACTL6A	0.4609	0.7377	0.7210	0.7065	0.0000
GCFC2	ACTL6B	GCFC2	ACTL6B	0.1535	0.1903	0.1841	0.4071	0.0454
GCFC2	ACTN4	GCFC2	ACTN4	0.2074	0.4014	0.4006	0.4699	0.0000
GCFC2	ACTR2	GCFC2	ACTR2	0.3478	0.6426	0.5713	0.7783	0.0000
GCFC2	ACY3	GCFC2	ACY3	0.1805	0.2578	0.2656	0.7315	0.0063
GCFC2	ACYP1	GCFC2	ACYP1	0.1537	0.5788	0.6173	1.0858	0.0000
GCFC2	ACYP2	GCFC2	ACYP2	0.2254	0.4749	0.4506	0.5560	0.0000
GCFC2	ADAL	GCFC2	ADAL	0.2486	0.5749	0.5294	0.8016	0.0000
GCFC2	ADAM15	GCFC2	ADAM15	0.1581	0.3231	0.2706	0.4328	0.0005
GCFC2	ADAM1A	GCFC2	ADAM1A	0.1542	0.4992	0.5087	0.8687	0.0000
GCFC2	ADAM1B	GCFC2	ADAM1B	0.1891	0.4930	0.5157	0.8876	0.0000
GCFC2	ADAM20	GCFC2	ADAM20	0.3143	0.3564	0.3451	0.6031	0.0001
GCFC2	ADAM21	GCFC2	ADAM21	0.2223	0.4493	0.4500	1.0758	0.0000
GCFC2	ADAMTS7P3	GCFC2	ADAMTS7P3	0.1479	0.3347	0.3729	0.8958	0.0003
GCFC2	ADAMTS8	GCFC2	ADAMTS8	0.2658	0.3646	0.4534	0.7170	0.0001
GCFC2	ADCK1	GCFC2	ADCK1	0.2365	0.4030	0.4170	0.4637	0.0000
GCFC2	ADCK2	GCFC2	ADCK2	0.2707	0.3984	0.3678	0.4083	0.0000
GCFC2	ADCK5	GCFC2	ADCK5	0.3421	0.1310	0.1350	0.2170	0.1704
GCFC2	ADCY5	GCFC2	ADCY5	0.2706	0.4684	0.5229	0.9870	0.0000
GCFC2	ADCY7	GCFC2	ADCY7	0.1700	0.3731	0.3497	0.4454	0.0001
GCFC2	ADD1	GCFC2	ADD1	0.1499	0.3983	0.3877	0.4180	0.0000
GCFC2	ADD3	GCFC2	ADD3	0.1537	0.2450	0.4409	0.7124	0.0095
GCFC2	ADGRA3	GCFC2	ADGRA3	0.1595	0.0804	0.1590	0.2136	0.4016
GCFC2	ADGRF3	GCFC2	ADGRF3	0.2036	0.5807	0.5702	0.8208	0.0000
GCFC2	ADGRF5P1	GCFC2	ADGRF5P1	0.1624	0.2686	0.2260	0.8101	0.0044
GCFC2	ADGRG2	GCFC2	ADGRG2	0.2105	0.4175	0.4442	0.8068	0.0000
GCFC2	ADIPOR2	GCFC2	ADIPOR2	0.1966	0.3732	0.3801	0.3730	0.0001
GCFC2	ADO	GCFC2	ADO	0.1526	0.5259	0.4635	0.5648	0.0000
GCFC2	ADPRH	GCFC2	ADPRH	0.1910	0.4801	0.4601	0.7254	0.0000
GCFC2	ADPRS	GCFC2	ADPRS	0.1843	0.0773	0.0891	0.0841	0.4201
GCFC2	AEBP1	GCFC2	AEBP1	0.2476	0.2180	0.1310	0.6213	0.0215
GCFC2	AFMID	GCFC2	AFMID	0.1952	0.4830	0.5294	0.8025	0.0000
GCFC2	AGA	GCFC2	AGA	0.3608	0.6160	0.5926	0.6127	0.0000
GCFC2	AGAP1	GCFC2	AGAP1	0.2089	-0.0228	0.0335	-0.0810	0.8125
GCFC2	AGBL3	GCFC2	AGBL3	0.2282	0.5193	0.5073	1.0190	0.0000
