Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
merged_GO_Biological_Process_2021.gmt	'de novo' posttranslational protein folding (GO:0051084)	1/61	6.218927e-01	7.400725e-01	1.542786e+00	7.328045e-01	MIF-AS1
merged_GO_Biological_Process_2021.gmt	3'-UTR-mediated mRNA stabilization (GO:0070935)	1/35	4.274872e-01	6.366176e-01	2.708559e+00	2.301817e+00	FOXD2-AS1
merged_GO_Biological_Process_2021.gmt	5-phosphoribose 1-diphosphate biosynthetic process (GO:0006015)	1/9	1.335342e-01	5.640717e-01	1.100612e+01	2.215969e+01	PRPS2
merged_GO_Biological_Process_2021.gmt	5-phosphoribose 1-diphosphate metabolic process (GO:0046391)	1/9	1.335342e-01	5.640717e-01	1.100612e+01	2.215969e+01	PRPS2
merged_GO_Biological_Process_2021.gmt	7-methylguanosine RNA capping (GO:0009452)	1/63	6.337756e-01	7.433702e-01	1.493286e+00	6.810285e-01	MIF-AS1
merged_GO_Biological_Process_2021.gmt	7-methylguanosine mRNA capping (GO:0006370)	1/63	6.337756e-01	7.433702e-01	1.493286e+00	6.810285e-01	MIF-AS1
merged_GO_Biological_Process_2021.gmt	ATP synthesis coupled electron transport (GO:0042773)	1/11	1.607041e-01	5.640717e-01	8.908931e+00	1.628723e+01	MIR4458HG
merged_GO_Biological_Process_2021.gmt	ATP synthesis coupled proton transport (GO:0015986)	1/37	4.454596e-01	6.407026e-01	2.559920e+00	2.070076e+00	MIR4458HG
merged_GO_Biological_Process_2021.gmt	ATP transport (GO:0015867)	1/23	3.067787e-01	5.867810e-01	4.155312e+00	4.910036e+00	CR1
merged_GO_Biological_Process_2021.gmt	AV node cell action potential (GO:0086016)	1/13	1.870242e-01	5.640717e-01	7.482845e+00	1.254512e+01	TRPM4
merged_GO_Biological_Process_2021.gmt	B cell activation (GO:0042113)	4/169	2.783697e-01	5.790934e-01	1.698064e+00	2.171494e+00	GPR183;ZAP70;LINC01058;MEF2C
merged_GO_Biological_Process_2021.gmt	B cell activation involved in immune response (GO:0002312)	3/31	1.266783e-02	4.180383e-01	7.694611e+00	3.361537e+01	MIR155HG;CD19;GPR183
merged_GO_Biological_Process_2021.gmt	B cell homeostasis (GO:0001782)	1/19	2.611474e-01	5.747678e-01	5.054646e+00	6.786722e+00	MEF2C
merged_GO_Biological_Process_2021.gmt	B cell mediated immunity (GO:0019724)	1/21	2.843257e-01	5.790934e-01	4.561109e+00	5.736210e+00	CD19
merged_GO_Biological_Process_2021.gmt	B cell proliferation (GO:0042100)	2/63	2.624461e-01	5.747678e-01	2.536329e+00	3.392871e+00	CD19;MEF2C
merged_GO_Biological_Process_2021.gmt	B cell receptor signaling pathway (GO:0050853)	2/67	2.858990e-01	5.790934e-01	2.381020e+00	2.981314e+00	NFATC2;CD19
merged_GO_Biological_Process_2021.gmt	BMP signaling pathway (GO:0030509)	4/129	1.478420e-01	5.640717e-01	2.243237e+00	4.288197e+00	TGFBR3;MAPK4;SMAD3;ENG
merged_GO_Biological_Process_2021.gmt	C21-steroid hormone biosynthetic process (GO:0006700)	1/29	3.700095e-01	6.108589e-01	3.279646e+00	3.260711e+00	LHB
merged_GO_Biological_Process_2021.gmt	C4-dicarboxylate transport (GO:0015740)	1/27	3.495991e-01	6.054083e-01	3.527476e+00	3.707265e+00	MAPK4
merged_GO_Biological_Process_2021.gmt	CD40 signaling pathway (GO:0023035)	1/17	2.372207e-01	5.747678e-01	5.667827e+00	8.154669e+00	MIR155HG
merged_GO_Biological_Process_2021.gmt	CENP-A containing chromatin organization (GO:0061641)	1/58	6.033437e-01	7.314011e-01	1.623494e+00	8.202997e-01	CENPT
merged_GO_Biological_Process_2021.gmt	CENP-A containing nucleosome assembly (GO:0034080)	1/58	6.033437e-01	7.314011e-01	1.623494e+00	8.202997e-01	CENPT
merged_GO_Biological_Process_2021.gmt	DNA biosynthetic process (GO:0071897)	2/33	9.542572e-02	5.640717e-01	4.958412e+00	1.164933e+01	TERT;MIF-AS1
merged_GO_Biological_Process_2021.gmt	DNA catabolic process, endonucleolytic (GO:0000737)	2/45	1.586684e-01	5.640717e-01	3.588682e+00	6.606545e+00	HMGB2;MIF-AS1
merged_GO_Biological_Process_2021.gmt	DNA catabolic process, exonucleolytic (GO:0000738)	1/9	1.335342e-01	5.640717e-01	1.100612e+01	2.215969e+01	LINC00158
merged_GO_Biological_Process_2021.gmt	DNA conformation change (GO:0071103)	2/35	1.053874e-01	5.640717e-01	4.661978e+00	1.048997e+01	HMGB2;MIF-AS1
merged_GO_Biological_Process_2021.gmt	DNA damage checkpoint signaling (GO:0000077)	4/63	1.757183e-02	4.459365e-01	4.745303e+00	1.917794e+01	CHEK2;FIRRE;MIF-AS1;STK33
merged_GO_Biological_Process_2021.gmt	DNA damage induced protein phosphorylation (GO:0006975)	2/15	2.281309e-02	4.827286e-01	1.157877e+01	4.377264e+01	CHEK2;CRY1
merged_GO_Biological_Process_2021.gmt	DNA damage response, signal transduction by p53 class mediator (GO:0030330)	3/147	4.107630e-01	6.329543e-01	1.509893e+00	1.343410e+00	CHEK2;MIF-AS1;E2F7
merged_GO_Biological_Process_2021.gmt	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest (GO:0006977)	3/111	2.562515e-01	5.747678e-01	2.014066e+00	2.742343e+00	CHEK2;MIF-AS1;E2F7
merged_GO_Biological_Process_2021.gmt	DNA dealkylation (GO:0035510)	1/19	2.611474e-01	5.747678e-01	5.054646e+00	6.786722e+00	MPG
merged_GO_Biological_Process_2021.gmt	DNA dealkylation involved in DNA repair (GO:0006307)	1/19	2.611474e-01	5.747678e-01	5.054646e+00	6.786722e+00	MPG
merged_GO_Biological_Process_2021.gmt	DNA double-strand break processing (GO:0000729)	1/37	4.454596e-01	6.407026e-01	2.559920e+00	2.070076e+00	FIRRE
merged_GO_Biological_Process_2021.gmt	DNA duplex unwinding (GO:0032508)	1/101	8.004597e-01	8.534710e-01	9.271086e-01	2.063458e-01	MIF-AS1
merged_GO_Biological_Process_2021.gmt	DNA geometric change (GO:0032392)	1/51	5.564573e-01	7.026290e-01	1.849101e+00	1.083878e+00	HMGB2
merged_GO_Biological_Process_2021.gmt	DNA integrity checkpoint signaling (GO:0031570)	2/77	3.440180e-01	6.054083e-01	2.064744e+00	2.203209e+00	CHEK2;MIF-AS1
merged_GO_Biological_Process_2021.gmt	DNA metabolic process (GO:0006259)	5/553	9.390794e-01	9.543591e-01	6.173268e-01	3.880221e-02	HMGB2;MPG;MIF-AS1;FIRRE;TERT
merged_GO_Biological_Process_2021.gmt	DNA modification (GO:0006304)	2/50	1.868634e-01	5.640717e-01	3.218008e+00	5.397814e+00	MPG;MIF-AS1
merged_GO_Biological_Process_2021.gmt	DNA recombination (GO:0006310)	1/77	7.071539e-01	7.861132e-01	1.219254e+00	4.224799e-01	MIF-AS1
merged_GO_Biological_Process_2021.gmt	DNA repair (GO:0006281)	6/594	9.103104e-01	9.342449e-01	6.806404e-01	6.395953e-02	LINC01806;MPG;MIF-AS1;FOXD2-AS1;FIRRE;CHEK2
merged_GO_Biological_Process_2021.gmt	DNA replication (GO:0006260)	2/215	8.561640e-01	8.942225e-01	7.257223e-01	1.126999e-01	FIRRE;MIF-AS1
merged_GO_Biological_Process_2021.gmt	DNA replication-independent nucleosome assembly (GO:0006336)	1/76	7.024378e-01	7.853293e-01	1.235457e+00	4.363614e-01	CENPT
merged_GO_Biological_Process_2021.gmt	DNA strand elongation (GO:0022616)	1/35	4.274872e-01	6.366176e-01	2.708559e+00	2.301817e+00	TERT
