Node,Type,Community,Centrality
Glutamatergic synapse,Pathway,4,0.01476943346508564
ADCY9,SIG,4,0.026771048999309873
GnRH signaling pathway,Pathway,4,0.1133201581027668
Intracellular Signaling By Second Messengers,Pathway,1,0.01896629336846728
Oxytocin signaling pathway,Pathway,1,0.023031284099059034
"Parathyroid hormone synthesis, secretion and action",Pathway,0,0.01658615136876006
Disease,Pathway,1,0.026770549562311577
CD19,SIG,1,0.014492753623188406
"Signal Transduction By Growth Factor Receptors, Second Messengers",Pathway,1,0.020180659983291563
Metabolism Of Carbohydrates,Pathway,3,0.016143892339544514
CHST7,SIG,3,0.017793305728088335
positive regulation of transcription by RNA polymerase II,Pathway,0,0.01722143523058855
CREB3,TF,0,0.020471014492753622
"positive regulation of transcription, DNA-templated",Pathway,0,0.01722143523058855
regulation of transcription by RNA polymerase II,Pathway,0,0.18441143352840755
"regulation of transcription, DNA-templated",Pathway,0,0.07281723062985683
transmembrane receptor protein tyrosine kinase signaling pathway,Pathway,2,0.028985507246376812
CYBB,SIG,2,0.014492753623188406
Generic Transcription Pathway,Pathway,0,0.02576186127976409
FIRRE,NC,0,0.0183524136657129
RNA Polymerase II Transcription,Pathway,0,0.02576186127976409
positive regulation of cell migration,Pathway,1,0.014492753623188406
FLNB-AS1,NC,1,0.03753729825610294
Diseases Of Metabolism,Pathway,3,0.01570910973084886
Signaling By Receptor Tyrosine Kinases,Pathway,1,0.014492753623188406
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3",Pathway,1,0.014492753623188406
VEGFA-VEGFR2 Signaling Pathway,Pathway,1,0.014492753623188406
Gene Expression (Transcription),Pathway,0,0.12390124746902238
GAD2,SIG,0,0.12821475625823453
KCNJ2,SIG,2,0.11372785829307569
cellular protein modification process,Pathway,2,0.11862893949850471
KCNJ2-AS1,NC,2,0.15682590169735142
positive regulation of response to external stimulus,Pathway,2,0.014492753623188406
protein phosphorylation,Pathway,2,0.023836553945249597
regulation of ERK1 and ERK2 cascade,Pathway,1,0.11304347826086956
regulation of gene expression,Pathway,4,0.015030193236714976
Cytokine Signaling In Immune System,Pathway,3,0.026774787209569818
Immune System,Pathway,3,0.04981423970554406
LINC00158,NC,3,0.017755792918836395
LPL,SIG,2,0.16120528058187905
LRP5,SIG,0,0.03610718991153774
Pathways in cancer,Pathway,0,0.016676019759543786
LTK,SIG,2,0.027852881820273127
negative regulation of apoptotic process,Pathway,3,0.01956521739130435
MAPK4,SIG,1,0.1112724160694951
MAPK Family Signaling Cascades,Pathway,1,0.017906759102411275
Ras signaling pathway,Pathway,1,0.019223184223184222
MORC3,TF,2,0.014886128364389236
MYLK,SIG,2,0.020540442791082174
MYO3A,SIG,4,0.03527624147189364
PLD1,SIG,4,0.08881164027987287
PLPP5,SIG,3,0.014492753623188406
PRKCA,SIG,1,0.238990779216247
PVR,SIG,4,0.024906027949506207
RASAL1,SIG,1,0.12556091251743426
RBMS3,SIG,4,0.030674562957171653
RTKN,SIG,1,0.016158307300452947
SEC61A1,SIG,3,0.014492753623188406
SOD1,SIG,3,0.014492753623188406
TALDO1,SIG,3,0.01522314239705544
TBXT,TF,0,0.0341874346494753
TERT,SIG,0,0.024646232655385972
WSB2,SIG,2,0.017876173745738966
ZAP70,SIG,2,0.06093507062900655
ZBTB40,TF,0,0.11322463768115942
ZNF334,TF,0,0.11977874252423315
ZNF44,TF,0,0.11304347826086956
ZNF471,TF,0,0.09142694262259479
ZNF667,TF,0,0.10808818646666944
ZSCAN25,TF,0,0.019384057971014494
