Source,Target,Weight,Source_Community,Target_Community
Glutamatergic synapse,ADCY9,1,4,4
Glutamatergic synapse,PLD1,1,4,4
Glutamatergic synapse,PRKCA,1,4,1
ADCY9,GnRH signaling pathway,1,4,4
ADCY9,Intracellular Signaling By Second Messengers,1,4,1
ADCY9,Oxytocin signaling pathway,1,4,1
ADCY9,"Parathyroid hormone synthesis, secretion and action",1,4,0
ADCY9,ZNF334,1,4,0
ADCY9,FLNB-AS1,1,4,1
GnRH signaling pathway,PLD1,1,4,4
GnRH signaling pathway,PRKCA,1,4,1
Intracellular Signaling By Second Messengers,CD19,1,1,1
Intracellular Signaling By Second Messengers,PRKCA,1,1,1
Oxytocin signaling pathway,KCNJ2,1,1,2
Oxytocin signaling pathway,MAPK4,1,1,1
Oxytocin signaling pathway,MYLK,1,1,2
Oxytocin signaling pathway,PRKCA,1,1,1
"Parathyroid hormone synthesis, secretion and action",CREB3,1,0,0
"Parathyroid hormone synthesis, secretion and action",PLD1,1,0,4
Disease,CD19,1,1,1
Disease,FLNB-AS1,1,1,1
Disease,LINC00158,1,1,3
Disease,LRP5,1,1,0
Disease,PRKCA,1,1,1
Disease,TALDO1,1,1,3
CD19,"Signal Transduction By Growth Factor Receptors, Second Messengers",1,1,1
"Signal Transduction By Growth Factor Receptors, Second Messengers",FLNB-AS1,1,1,1
"Signal Transduction By Growth Factor Receptors, Second Messengers",LRP5,1,1,0
"Signal Transduction By Growth Factor Receptors, Second Messengers",MAPK4,1,1,1
Metabolism Of Carbohydrates,CHST7,1,3,3
Metabolism Of Carbohydrates,FLNB-AS1,1,3,1
Metabolism Of Carbohydrates,MAPK4,1,3,1
Metabolism Of Carbohydrates,TALDO1,1,3,3
CHST7,ZNF471,1,3,0
CHST7,ZNF667,1,3,0
CHST7,TERT,1,3,0
CHST7,LINC00158,1,3,3
positive regulation of transcription by RNA polymerase II,CREB3,1,0,0
positive regulation of transcription by RNA polymerase II,KCNJ2-AS1,1,0,2
positive regulation of transcription by RNA polymerase II,LRP5,1,0,0
CREB3,"positive regulation of transcription, DNA-templated",1,0,0
CREB3,regulation of transcription by RNA polymerase II,1,0,0
CREB3,"regulation of transcription, DNA-templated",1,0,0
"positive regulation of transcription, DNA-templated",KCNJ2-AS1,1,0,2
"positive regulation of transcription, DNA-templated",LRP5,1,0,0
regulation of transcription by RNA polymerase II,LRP5,1,0,0
regulation of transcription by RNA polymerase II,TBXT,1,0,0
regulation of transcription by RNA polymerase II,ZBTB40,1,0,0
regulation of transcription by RNA polymerase II,ZNF334,1,0,0
regulation of transcription by RNA polymerase II,ZNF44,1,0,0
regulation of transcription by RNA polymerase II,ZNF471,1,0,0
regulation of transcription by RNA polymerase II,ZNF667,1,0,0
regulation of transcription by RNA polymerase II,ZSCAN25,1,0,0
"regulation of transcription, DNA-templated",LRP5,1,0,0
"regulation of transcription, DNA-templated",TBXT,1,0,0
"regulation of transcription, DNA-templated",ZBTB40,1,0,0
"regulation of transcription, DNA-templated",ZNF334,1,0,0
"regulation of transcription, DNA-templated",ZNF471,1,0,0
"regulation of transcription, DNA-templated",ZNF667,1,0,0
"regulation of transcription, DNA-templated",ZSCAN25,1,0,0
transmembrane receptor protein tyrosine kinase signaling pathway,CYBB,1,2,2
transmembrane receptor protein tyrosine kinase signaling pathway,LTK,1,2,2
transmembrane receptor protein tyrosine kinase signaling pathway,ZAP70,1,2,2
Generic Transcription Pathway,FIRRE,1,0,0
Generic Transcription Pathway,GAD2,1,0,0
Generic Transcription Pathway,PRKCA,1,0,1
Generic Transcription Pathway,ZNF334,1,0,0
Generic Transcription Pathway,ZNF471,1,0,0
Generic Transcription Pathway,ZNF667,1,0,0
Generic Transcription Pathway,ZSCAN25,1,0,0
FIRRE,RNA Polymerase II Transcription,1,0,0
FIRRE,PLD1,1,0,4
FIRRE,MYO3A,1,0,4
FIRRE,ZNF667,1,0,0
FIRRE,LPL,1,0,2
FIRRE,GAD2,1,0,0
RNA Polymerase II Transcription,GAD2,1,0,0
RNA Polymerase II Transcription,PRKCA,1,0,1
RNA Polymerase II Transcription,ZNF334,1,0,0
RNA Polymerase II Transcription,ZNF471,1,0,0
RNA Polymerase II Transcription,ZNF667,1,0,0
RNA Polymerase II Transcription,ZSCAN25,1,0,0
positive regulation of cell migration,FLNB-AS1,1,1,1
positive regulation of cell migration,MYLK,1,1,2
positive regulation of cell migration,PRKCA,1,1,1
FLNB-AS1,Diseases Of Metabolism,1,1,3
FLNB-AS1,Signaling By Receptor Tyrosine Kinases,1,1,1
FLNB-AS1,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3",1,1,1
FLNB-AS1,VEGFA-VEGFR2 Signaling Pathway,1,1,1
FLNB-AS1,ZAP70,1,1,2
FLNB-AS1,ZNF667,1,1,0
FLNB-AS1,LRP5,1,1,0
FLNB-AS1,RTKN,1,1,1
FLNB-AS1,MAPK4,1,1,1
FLNB-AS1,PLD1,1,1,4
FLNB-AS1,ZNF334,1,1,0
FLNB-AS1,KCNJ2-AS1,1,1,2
Diseases Of Metabolism,MAPK4,1,3,1
Diseases Of Metabolism,TALDO1,1,3,3
Signaling By Receptor Tyrosine Kinases,MAPK4,1,1,1
Signaling By Receptor Tyrosine Kinases,PRKCA,1,1,1
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3",MAPK4,1,1,1
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3",MYLK,1,1,2
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3",PRKCA,1,1,1
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3",RTKN,1,1,1
VEGFA-VEGFR2 Signaling Pathway,MAPK4,1,1,1
VEGFA-VEGFR2 Signaling Pathway,PRKCA,1,1,1
Gene Expression (Transcription),GAD2,1,0,0
Gene Expression (Transcription),PRKCA,1,0,1
Gene Expression (Transcription),ZNF334,1,0,0
Gene Expression (Transcription),ZNF471,1,0,0
Gene Expression (Transcription),ZNF667,1,0,0
Gene Expression (Transcription),ZSCAN25,1,0,0
GAD2,MYO3A,1,0,4
GAD2,RASAL1,1,0,1
GAD2,PVR,1,0,4
GAD2,ZNF471,1,0,0
GAD2,TERT,1,0,0
GAD2,RBMS3,1,0,4
KCNJ2,KCNJ2-AS1,1,2,2
KCNJ2,PLD1,1,2,4
KCNJ2,ZNF667,1,2,0
KCNJ2,LPL,1,2,2
cellular protein modification process,KCNJ2-AS1,1,2,2
cellular protein modification process,LTK,1,2,2
cellular protein modification process,MORC3,1,2,2
cellular protein modification process,PRKCA,1,2,1
cellular protein modification process,WSB2,1,2,2
cellular protein modification process,ZAP70,1,2,2
KCNJ2-AS1,positive regulation of response to external stimulus,1,2,2
KCNJ2-AS1,protein phosphorylation,1,2,2
KCNJ2-AS1,regulation of ERK1 and ERK2 cascade,1,2,1
KCNJ2-AS1,regulation of gene expression,1,2,4
KCNJ2-AS1,Cytokine Signaling In Immune System,1,2,3
KCNJ2-AS1,Immune System,1,2,3
KCNJ2-AS1,LPL,1,2,2
KCNJ2-AS1,PLD1,1,2,4
KCNJ2-AS1,ZAP70,1,2,2
KCNJ2-AS1,MAPK4,1,2,1
KCNJ2-AS1,MYLK,1,2,2
KCNJ2-AS1,WSB2,1,2,2
KCNJ2-AS1,ZNF471,1,2,0
KCNJ2-AS1,RTKN,1,2,1
KCNJ2-AS1,ZNF667,1,2,0
KCNJ2-AS1,ZNF334,1,2,0
KCNJ2-AS1,TBXT,1,2,0
KCNJ2-AS1,LINC00158,1,2,3
positive regulation of response to external stimulus,LPL,1,2,2
positive regulation of response to external stimulus,PRKCA,1,2,1
protein phosphorylation,LTK,1,2,2
protein phosphorylation,MORC3,1,2,2
protein phosphorylation,MYO3A,1,2,4
protein phosphorylation,PRKCA,1,2,1
protein phosphorylation,ZAP70,1,2,2
regulation of ERK1 and ERK2 cascade,MAPK4,1,1,1
regulation of ERK1 and ERK2 cascade,PRKCA,1,1,1
regulation of gene expression,RBMS3,1,4,4
regulation of gene expression,TERT,1,4,0
Cytokine Signaling In Immune System,LINC00158,1,3,3
Cytokine Signaling In Immune System,PRKCA,1,3,1
Cytokine Signaling In Immune System,SOD1,1,3,3
Cytokine Signaling In Immune System,TALDO1,1,3,3
Immune System,LINC00158,1,3,3
Immune System,PLPP5,1,3,3
Immune System,PRKCA,1,3,1
Immune System,PVR,1,3,4
Immune System,SEC61A1,1,3,3
Immune System,TALDO1,1,3,3
Immune System,ZAP70,1,3,2
LINC00158,MYO3A,1,3,4
LPL,PLD1,1,2,4
LPL,ZNF667,1,2,0
LPL,MAPK4,1,2,1
LPL,ZAP70,1,2,2
LPL,WSB2,1,2,2
LPL,ZNF334,1,2,0
LPL,MYLK,1,2,2
LPL,TBXT,1,2,0
LPL,RASAL1,1,2,1
LPL,RBMS3,1,2,4
LPL,MYO3A,1,2,4
LPL,PRKCA,1,2,1
LPL,RTKN,1,2,1
LPL,TERT,1,2,0
LRP5,Pathways in cancer,1,0,0
Pathways in cancer,PRKCA,1,0,1
Pathways in cancer,TERT,1,0,0
LTK,negative regulation of apoptotic process,1,2,3
LTK,MAPK4,1,2,1
LTK,ZNF334,1,2,0
negative regulation of apoptotic process,PRKCA,1,3,1
negative regulation of apoptotic process,SOD1,1,3,3
MAPK4,MAPK Family Signaling Cascades,1,1,1
MAPK4,Ras signaling pathway,1,1,1
MAPK4,PRKCA,1,1,1
MAPK4,ZNF334,1,1,0
MAPK4,TBXT,1,1,0
MAPK4,RASAL1,1,1,1
MAPK4,RTKN,1,1,1
MAPK4,ZNF667,1,1,0
MAPK Family Signaling Cascades,PRKCA,1,1,1
MAPK Family Signaling Cascades,RASAL1,1,1,1
Ras signaling pathway,PLD1,1,1,4
Ras signaling pathway,PRKCA,1,1,1
Ras signaling pathway,RASAL1,1,1,1
MYLK,ZNF667,1,2,0
MYLK,PLD1,1,2,4
MYLK,ZAP70,1,2,2
