source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
ADNP2	ACTBP15	ADNP2	ACTBP15	0.3758	-0.1446	-0.2775	-0.1617	0.1265
ADNP2	ADIPOR1	ADNP2	ADIPOR1	0.5535	0.5121	0.6216	0.2268	0.0000
ADNP2	AFF1	ADNP2	AFF1	0.3879	0.1911	0.1903	0.1832	0.0426
ADNP2	AHCTF1	ADNP2	AHCTF1	0.4605	0.5400	0.6501	0.3019	0.0000
ADNP2	AKAP8	ADNP2	AKAP8	0.4685	0.3769	0.4690	0.1574	0.0000
ADNP2	ALCAM	ADNP2	ALCAM	0.3944	0.1898	0.2410	0.1212	0.0440
ADNP2	ALOXE3	ADNP2	ALOXE3	0.3508	0.4293	0.4361	0.6676	0.0000
ADNP2	AMD1	ADNP2	AMD1	0.5359	0.5541	0.7037	0.3972	0.0000
ADNP2	ANKRD49P1	ADNP2	ANKRD49P1	0.4100	0.5024	0.5589	0.5122	0.0000
ADNP2	AQP8	ADNP2	AQP8	0.4805	0.6232	0.6445	0.6597	0.0000
ADNP2	ARIH1	ADNP2	ARIH1	0.4359	0.5658	0.6844	0.3059	0.0000
ADNP2	ARSI	ADNP2	ARSI	0.4362	0.4434	0.5817	1.3168	0.0000
ADNP2	ATF4	ADNP2	ATF4	0.4396	0.4309	0.4799	0.2213	0.0000
ADNP2	BIRC2	ADNP2	BIRC2	0.5363	0.5044	0.5919	0.3322	0.0000
ADNP2	C1R	ADNP2	C1R	0.3744	0.3831	0.4578	0.3155	0.0000
ADNP2	CALM1	ADNP2	CALM1	0.4587	0.4437	0.5620	0.2615	0.0000
ADNP2	CEBPG	ADNP2	CEBPG	0.4680	0.5537	0.6615	0.2886	0.0000
ADNP2	CFAP45	ADNP2	CFAP45	0.4178	0.5221	0.5407	0.4542	0.0000
ADNP2	CFAP65	ADNP2	CFAP65	0.4200	0.2517	0.3275	0.2649	0.0072
ADNP2	CGRRF1	ADNP2	CGRRF1	0.5268	0.6074	0.7155	0.3367	0.0000
ADNP2	CHD1	ADNP2	CHD1	0.4719	0.5756	0.7050	0.4360	0.0000
ADNP2	CHMP4BP1	ADNP2	CHMP4BP1	0.4297	0.5634	0.5930	0.7206	0.0000
ADNP2	CHST10	ADNP2	CHST10	0.4564	0.4079	0.5333	0.2897	0.0000
ADNP2	CNTF	ADNP2	CNTF	0.4609	0.4625	0.5630	0.3509	0.0000
ADNP2	CNTN2	ADNP2	CNTN2	0.3734	0.2214	0.3156	0.2082	0.0185
ADNP2	CRLF1	ADNP2	CRLF1	0.4088	0.4321	0.4904	0.2760	0.0000
ADNP2	CRYBA1	ADNP2	CRYBA1	0.4034	0.3894	0.4933	0.3749	0.0000
