Feature,Importance
CDK1,0.015964690320449122
CRMA,0.01328797353569899
CDC20,0.013067929342827429
SULF1,0.01008616577330876
COL8A1,0.01001603100016699
RRM2,0.008146564509016487
CHI3L2,0.007610983999509497
VCAM1,0.007547852860487624
ANGPTL1,0.0071931824139836766
GGT5,0.006582383867754114
ASPA,0.006367786541307974
MFGE8,0.006282183050790641
GXYLT2,0.0062689253674688365
HLA-DQB1-AS1,0.0055615389188975
P2RY2,0.005482548559080492
NRG1,0.0051912293860772885
HCK,0.005019160523601147
DTL,0.004733416043903833
ESPL1,0.0047076675237445725
EGR1,0.004639793229449709
MELK,0.004376146301174139
IRF4,0.004351034748017837
FOSB,0.004179923723579967
BRIP1,0.004109122887188498
CTSC,0.0038435120875488574
DUOX1,0.003823983181927811
HMGCLL1,0.0037249144071036496
STAC,0.0036789480040367536
STMN1,0.0036764189204551816
ADRA1D,0.003624306504905395
CSF1R,0.003563553659485552
SFRP4,0.003367805982321957
BGN,0.003325821526856879
SLC44A1,0.0032306873971618996
FAP,0.003130394638929195
FOXM1,0.003103143331857453
NRP1,0.0030116945690770998
HELLS,0.0029718140824251914
MGAT4B,0.002965286256592736
NTN1,0.0028005597427172594
LINC01082,0.002701006861970558
FRY-AS1,0.0026895574074208553
NRXN1,0.0026584104564266672
ELK3,0.0026065764405399077
DUOX2,0.0025605858318158425
PTN,0.0024837583752576557
BLM,0.002439512274820733
ACAD8,0.002433629812260577
PLA2G12A,0.0024209211211347445
KLK4,0.0024200228204110793
IL10RA,0.002366814273791315
HMMR-AS1,0.0023490919404341387
NRK,0.002283577545370582
PLXNC1,0.002195997436804949
BIRC5,0.0021195064183863145
FLI1,0.002098076552143043
GCNT2,0.0020494144898955046
CDH5,0.0020365948018819598
KLF17,0.0019886388642585146
KRTAP5-AS1,0.0019662395332286703
FA2H,0.001918850765033505
HHAT,0.0018531722011074533
ZNF521,0.0018344965238735645
YBX2,0.0018322663287530894
ZNF516-AS1,0.001794325558187142
FOS,0.0017621407611492178
AEBP1,0.0017470326120662385
CPEB3,0.0017432419844952145
ASS1,0.0017423973549463853
GJB5,0.0017344084879235685
EGF,0.0017112708232382306
MKLN1,0.0017104457882888167
SLC51B,0.001697664159509617
CHDH,0.0016967536654408262
HBEGF,0.0016755902192880508
PIM2,0.001662806467206195
FOXQ1,0.001653119011858838
FOXI1,0.0016453636882482038
SLC6A6,0.0016266700006524663
CD38,0.0015964917053100758
TRPM8,0.001566059906003324
PECAM1,0.0015370818049255702
ANPEP,0.001497943149112843
MME,0.0014943556203489247
DUSP15,0.0014787232633012774
SLC4A4,0.0014656482805383514
CD4,0.0014468643281232822
TGM3,0.0014268754388825928
SPI1,0.0014267892068833454
SPRY2,0.0014016203423134449
GREM1,0.001396788125935064
APOE,0.001394385221856558
SERPINH1,0.0013805132024884582
TDG,0.0013634629367975369
LEF1,0.0013588484629705974
HAAO,0.001343859255402177
SOCS2,0.0013402588139540214
MEOX1,0.0013299321434660119
COPS5,0.0012949116329801112
FOXN2,0.0012787605821285245
BLNK,0.0012759890945695323
BHLHE22,0.0012647535302198545
NLRP12,0.0012635576918781758
TYROBP,0.0012609374156525776
TTK,0.0012283730579700646
FOXP2,0.001228142079013412
IL31RA,0.001222450501690175
WDR82,0.0012137834751987007
DCXR,0.0011978620571913192
