Feature,Importance
CDC25C,4.3494459135047866e-08
ATP1A2,2.5307381709390684e-08
PYGM,1.259934579780095e-08
PTGIS,8.46742303225044e-09
CRMA,7.902424150360183e-09
ADCY5,7.787783227158965e-09
SRD5A2,6.471231851837552e-09
ASPA,6.324868061144883e-09
SLC44A1,6.268663358794312e-09
CDK1,5.701792668079394e-09
TMLHE,5.607395641097146e-09
CYBB,5.587672901623924e-09
FGFR2,5.400341737731509e-09
PCSK2,5.003381758805811e-09
COL4A1,4.784803370418411e-09
LDHD,4.453136580268922e-09
PCYT1B,4.40061287055202e-09
CD4,4.344912598821199e-09
PRC1-AS1,4.220371652193899e-09
PECAM1,4.100948228633317e-09
ITGB2,4.061238501872816e-09
NRXN1,4.008953058655073e-09
CYP3A5,3.948689043255539e-09
PTN,3.7125784091030125e-09
PTGIR,3.483209684279452e-09
BLM,3.473078417767699e-09
PSLNR,3.4331336468707936e-09
LAMB3,3.290710117662833e-09
NFE2L1-DT,3.259118083662081e-09
TP63,3.0434715916354737e-09
FGF7,3.028397300239462e-09
CTSC,2.9885751297677385e-09
NRG1,2.585588801553186e-09
THBS2,2.5180521267459957e-09
COL15A1,2.2574070159975426e-09
COL4A6,2.186885096727372e-09
VCAM1,2.095632730128611e-09
E2F8,2.0844606976016455e-09
RRM2,2.074805657738672e-09
SLC2A12,2.073972584247028e-09
CA14,2.053821426900328e-09
COL17A1,1.9767950316210966e-09
MGAT4B,1.956948650712836e-09
LINC01088,1.938220198027891e-09
TK1,1.9347178992200566e-09
COL5A1,1.9311500769277166e-09
BAIAP2,1.8821404899902353e-09
HCG11,1.87849693990186e-09
FOSB,1.8749539349994382e-09
SLC2A10,1.864282571488925e-09
TXNRD1,1.8618586234221174e-09
ITGA4,1.8492959813818705e-09
WAPL-DT,1.8459891780947617e-09
PLG,1.8141177291786328e-09
PTK6,1.787606560743574e-09
HBEGF,1.6977060063378114e-09
CLMAT3,1.6804147732223374e-09
NR4A1,1.672041082531227e-09
NRG2,1.6288934243067693e-09
JAG1,1.6218452144572041e-09
SLC45A3,1.5377382453454348e-09
FENDRR,1.532398640254581e-09
TGFB3-AS1,1.4912658952295848e-09
FYN,1.488489933825711e-09
MGST1,1.4798967077918517e-09
CDH5,1.4236408657756868e-09
CD79A,1.3918022852873043e-09
SLC12A7,1.3873849651764944e-09
CD38,1.3203392253244688e-09
MMP11,1.3196652978264163e-09
PRIM2,1.3019223874843962e-09
COL1A2,1.2902291453059022e-09
ACER1,1.2877002057312703e-09
GNE,1.286430639595242e-09
COL8A1,1.2087682731157376e-09
NOX4,1.2009185605831183e-09
LARP1,1.1973588259790205e-09
GNPTAB,1.1888882383869619e-09
NCAM1,1.1881878696078083e-09
PCAT4,1.175042945312522e-09
DGKA,1.1744588286651626e-09
DLG3-AS1,1.1622131556280873e-09
SNHG18,1.1530553855164438e-09
SLC5A8,1.152125257987364e-09
FGF14-AS2,1.1199905654890345e-09
ACACB,1.1005591316904522e-09
SPI1,1.0984686684830297e-09
LINC01511,1.0914181178272846e-09
MIR4435-2HG,1.0904851197119656e-09
EPHX2,1.0720712803359455e-09
GMPR,1.0671943859623712e-09
LPCAT1,1.0664577307232477e-09
CYP27A1,1.0643546484683959e-09
FARS2-AS1,1.0586378188157609e-09
SLC9A3-AS1,1.053707083638011e-09
PLCD4,1.0460561464121597e-09
GABRQ,1.035137129765573e-09
MYBL2,1.0303542940723331e-09
PROSER2-AS1,1.0300552226997015e-09
INPP4A,1.0055391767291983e-09
SUZ12,9.955527564616003e-10
DDX39A,9.910250534576544e-10
BST1,9.815563312517497e-10
MSC-AS1,9.70329778117907e-10
PNKP,9.689031270719493e-10
GPC4,9.506757638866276e-10
RSPO3,9.454803495061066e-10
