Gene,Cluster,NC
ACAD8,2,False
ADCY5,3,False
ADRA1D,3,False
ANGPTL1,3,False
ASPA,3,False
ATP1A2,3,False
BAIAP2,2,False
BGN,4,False
BLM,1,False
BRIP1,1,False
CA14,3,False
CD4,4,False
CDC20,1,False
CDC25C,1,False
CDK1,1,False
CHI3L2,3,False
COL15A1,4,False
COL17A1,3,False
COL4A1,4,False
COL4A6,3,False
COL5A1,4,False
COL8A1,4,False
CSF1R,4,False
CTSC,4,False
CYBB,4,False
CYP3A5,3,False
DTL,1,False
DUOX1,3,False
DUOX2,3,False
E2F8,1,False
EGR1,3,False
ELK3,4,False
ESPL1,1,False
FAP,4,False
FGF7,3,False
FGFR2,3,False
FOSB,3,False
FOXM1,1,False
FRY-AS1,4,True
GGT5,4,False
GXYLT2,4,False
HCG11,3,True
HCK,4,False
HELLS,1,False
HLA-DQB1-AS1,4,True
HMGCLL1,3,False
IRF4,4,False
ITGB2,4,False
KLK4,2,False
LAMB3,3,False
LDHD,2,False
LINC01082,3,True
LINC01088,2,True
MELK,1,False
MFGE8,4,False
MGAT4B,1,False
NRG1,3,False
NRP1,4,False
NRXN1,3,False
NTN1,3,False
P2RY2,3,False
PCSK2,3,False
PCYT1B,3,False
PECAM1,4,False
PLA2G12A,2,False
PRC1-AS1,1,True
PTGIR,4,False
PTGIS,3,False
PTN,3,False
PYGM,3,False
RRM2,1,False
SFRP4,4,False
SLC2A10,2,False
SLC2A12,2,False
SLC44A1,4,False
SRD5A2,3,False
STAC,3,False
STMN1,1,False
SULF1,4,False
THBS2,4,False
TK1,1,False
TMLHE,3,False
TP63,3,False
VCAM1,4,False
