Gene,Cluster
ACAD8,2
ADCY5,3
ADRA1D,3
ANGPTL1,3
ASPA,3
ATP1A2,3
BAIAP2,2
BGN,4
BLM,1
BRIP1,1
CA14,3
CD4,4
CDC20,1
CDC25C,1
CDK1,1
CHI3L2,3
COL15A1,4
COL17A1,3
COL4A1,4
COL4A6,3
COL5A1,4
COL8A1,4
CSF1R,4
CTSC,4
CYBB,4
CYP3A5,3
DTL,1
DUOX1,3
DUOX2,3
E2F8,1
EGR1,3
ELK3,4
ESPL1,1
FAP,4
FGF7,3
FGFR2,3
FOSB,3
FOXM1,1
FRY-AS1,4
GGT5,4
GXYLT2,4
HCG11,3
HCK,4
HELLS,1
HLA-DQB1-AS1,4
HMGCLL1,3
IRF4,4
ITGB2,4
KLK4,2
LAMB3,3
LDHD,2
LINC01082,3
LINC01088,2
MELK,1
MFGE8,4
MGAT4B,1
NRG1,3
NRP1,4
NRXN1,3
NTN1,3
P2RY2,3
PCSK2,3
PCYT1B,3
PECAM1,4
PLA2G12A,2
PRC1-AS1,1
PTGIR,4
PTGIS,3
PTN,3
PYGM,3
RRM2,1
SFRP4,4
SLC2A10,2
SLC2A12,2
SLC44A1,4
SRD5A2,3
STAC,3
STMN1,1
SULF1,4
THBS2,4
TK1,1
TMLHE,3
TP63,3
VCAM1,4
