Gene,Cluster
CD4,3
ATP1A2,4
CHI3L2,4
NTN1,4
COL17A1,4
FGFR2,4
PYGM,4
SLC44A1,3
TP63,4
FAP,3
NRP1,3
GGT5,3
HCK,3
PCYT1B,4
PTN,4
CYP3A5,4
SFRP4,3
ASPA,4
CTSC,3
ELK3,3
FOXM1,1
ANGPTL1,4
CDC20,1
STMN1,1
CA14,4
HELLS,1
EGR1,4
PLA2G12A,2
PTGIS,4
FOSB,4
PCSK2,4
E2F8,1
COL5A1,3
ESPL1,1
BRIP1,1
IRF4,3
SULF1,3
DUOX1,4
DUOX2,4
FGF7,4
MFGE8,3
DTL,1
STAC,4
COL8A1,3
HMGCLL1,4
SLC2A12,2
ACAD8,2
NRG1,4
CDC25C,1
PTGIR,3
ITGB2,3
MGAT4B,1
VCAM1,3
CYBB,3
MELK,1
LDHD,2
KLK4,2
TK1,1
CDK1,1
RRM2,1
ADRA1D,4
GXYLT2,3
ADCY5,4
P2RY2,4
BAIAP2,2
NRXN1,4
BGN,3
CSF1R,3
TMLHE,4
THBS2,3
COL4A1,3
LAMB3,4
BLM,1
SLC2A10,2
COL4A6,4
COL15A1,3
HLA-DQB1-AS1,3
HCG11,4
FRY-AS1,3
LINC01088,2
PRC1-AS1,1
PECAM1,3
LINC01082,4
SRD5A2,4
