Gene,Cluster
BLM,1
BRIP1,1
CDC20,1
CDC25C,1
CDK1,1
DTL,1
E2F8,1
ESPL1,1
FOXM1,1
HELLS,1
MELK,1
MGAT4B,1
PRC1-AS1,1
RRM2,1
STMN1,1
TK1,1
NRP1,2
SLC44A1,2
ACAD8,3
BAIAP2,3
KLK4,3
LDHD,3
LINC01088,3
PLA2G12A,3
SLC2A10,3
SLC2A12,3
BGN,4
CD4,4
COL15A1,4
COL4A1,4
COL5A1,4
COL8A1,4
CSF1R,4
CTSC,4
CYBB,4
ELK3,4
FAP,4
FRY-AS1,4
GGT5,4
GXYLT2,4
HCK,4
HLA-DQB1-AS1,4
IRF4,4
ITGB2,4
MFGE8,4
PECAM1,4
PTGIR,4
SFRP4,4
SULF1,4
THBS2,4
VCAM1,4
EGR1,5
FOSB,5
ADCY5,6
ADRA1D,6
ANGPTL1,6
ASPA,6
ATP1A2,6
CA14,6
COL4A6,6
FGF7,6
HCG11,6
HMGCLL1,6
LINC01082,6
NRXN1,6
PCSK2,6
PCYT1B,6
PTGIS,6
PTN,6
PYGM,6
SRD5A2,6
STAC,6
TMLHE,6
CHI3L2,7
COL17A1,7
CYP3A5,7
DUOX1,7
DUOX2,7
FGFR2,7
LAMB3,7
NRG1,7
NTN1,7
P2RY2,7
TP63,7
