Feature,Importance
CDK1,0.015963703783528318
CRMA,0.013287178951849447
CDC20,0.013067219025076772
SULF1,0.010085851198944125
COL8A1,0.010015820068906348
RRM2,0.008146210364429862
CHI3L2,0.007610822751443302
VCAM1,0.0075473823308129795
ANGPTL1,0.007192747347289696
GGT5,0.006582115748964074
ASPA,0.006367363963420877
MFGE8,0.006281938918453472
GXYLT2,0.006268695018588179
HLA-DQB1-AS1,0.005561422870019357
P2RY2,0.005482175476278614
NRG1,0.005190916353875755
HCK,0.005019071554992056
DTL,0.004733258937017357
ESPL1,0.004707475136033603
EGR1,0.004639534391500744
MELK,0.004375893283624942
IRF4,0.0043507859754387
FOSB,0.004179639257660775
BRIP1,0.004109021044213377
CTSC,0.0038433462101385533
DUOX1,0.003823701441190063
HMGCLL1,0.0037246587527639497
STAC,0.003678711262797849
STMN1,0.003676241042721629
ADRA1D,0.003624102627097704
CSF1R,0.0035634356430120826
SFRP4,0.00336772056507838
BGN,0.0033257850775200238
SLC44A1,0.0032305198891837716
FAP,0.0031303810131551773
FOXM1,0.003102937211161184
NRP1,0.003011490454019907
HELLS,0.002971787838343213
MGAT4B,0.0029651670080938584
NTN1,0.002800354512403672
LINC01082,0.0027008344638346383
FRY-AS1,0.002689505043493071
NRXN1,0.002658233866510052
ELK3,0.0026064305635026073
DUOX2,0.002560371347646302
PTN,0.002483759496398206
BLM,0.002439381646549884
ACAD8,0.0024334699033954736
PLA2G12A,0.0024207263727820455
KLK4,0.002419862488768742
IL10RA,0.00236671695047949
HMMR-AS1,0.0023489614572044406
NRK,0.002283442269478168
PLXNC1,0.002195932176182579
BIRC5,0.0021193934861535907
FLI1,0.002097984675544072
GCNT2,0.0020494028331958904
CDH5,0.002036499761247383
KLF17,0.001988616307698976
KRTAP5-AS1,0.0019662015027169027
FA2H,0.0019187185118168756
HHAT,0.0018530807987548487
ZNF521,0.0018343939291252805
YBX2,0.0018322148567180689
ZNF516-AS1,0.0017942127529070172
FOS,0.0017620523139286355
AEBP1,0.0017469690441191572
CPEB3,0.0017431452983550522
ASS1,0.0017422423165356516
GJB5,0.0017342842511838667
EGF,0.0017111909844676819
MKLN1,0.0017103955937700173
SLC51B,0.0016975854070615886
CHDH,0.0016965673497783096
HBEGF,0.0016754895628084817
PIM2,0.0016627741014316496
FOXQ1,0.0016529660683267543
FOXI1,0.0016452535045811023
SLC6A6,0.0016265906499581726
CD38,0.0015964733412523985
TRPM8,0.0015659894167096941
PECAM1,0.001536992118394435
ANPEP,0.0014979249429213975
MME,0.0014943560200121318
DUSP15,0.0014786638248827358
SLC4A4,0.0014655932303398777
CD4,0.0014468302710560644
SPI1,0.0014267608321185407
TGM3,0.0014267252588777207
SPRY2,0.0014015071898452014
GREM1,0.0013967574603781822
APOE,0.001394299423158042
SERPINH1,0.0013804463002694927
TDG,0.0013634433846090536
LEF1,0.0013588174212756455
HAAO,0.0013437601170357763
SOCS2,0.0013402401203652836
MEOX1,0.001329868618407577
COPS5,0.0012948505873466294
FOXN2,0.0012787248462627025
BLNK,0.0012758988656367714
BHLHE22,0.0012646805175859988
NLRP12,0.0012634294899827284
TYROBP,0.0012609295051576204
TTK,0.0012282964578825884
FOXP2,0.0012280783392837964
IL31RA,0.0012223799538943318
WDR82,0.0012136691269906714
DCXR,0.0011977706443933056
HM13,0.001191427656710467
TBX1,0.0011797408705656333
ADAMTS10,0.0011737755620687853
PIGB,0.0011681319522749895
SLC44A5,0.0011672390395173664
HOPX,0.0011664533527124665
MSC-AS1,0.0011496764283047108
ALDH1A3,0.001148583705982692
SMPDL3A,0.001133701633419821
MCEE,0.0011238290203299116
RABGGTA,0.0011164488253717821
JAM3,0.0011119412169449273
P4HB,0.0010940414813399232
CREBZF,0.0010804717929461575
NOTCH3,0.0010764215635964604
FLNC-AS1,0.0010736772737318186
RNF41,0.001060341160752219
SLC7A1,0.0010550326144886015
LRP4,0.0010538049213740428
ZNF224,0.0010249152404261017
SOX15,0.0010209040083316613
SFTPD,0.0010135183413584662
HHEX,0.0010128000031587327
HOXD11,0.0010122510994760013
PTPN12,0.0009938020433640884
PNKP,0.0009867928498705522
ACOX3,0.0009850647725353624
KCNJ11,0.0009734831684537229
CPE,0.0009732651187962369
NKX6-1,0.0009720256343458422
RAP2B,0.0009715917501212934
TNFRSF18,0.000969674696974458
TREM2,0.0009683103963696321
DCAF11,0.0009681998321636888
EHHADH,0.0009655575181775268
MMP11,0.0009647422239645999
CDK18,0.0009563078955079733
DNMT3A,0.0009512947305397161
MTOR,0.0009462518605503628
MARK1,0.0009313122851068843
ASB2,0.0009293084728443145
LINC02701,0.0009280321292137177
STYK1,0.0009208732373754357
PTPN13,0.0009206794586038031
PLCD4,0.0009181236375362193
AGK,0.0009175787647256808
BAIAP2,0.0009168065678754876
IRF5,0.0009153847505645432
ZDHHC2,0.0009147520094982132
MIPEP,0.0009143752445266507
AATBC,0.0009110180150529608
LINC00106,0.0009098712991374358
NFYB,0.0009089412625061495
TMEM220-AS1,0.0008949042194998206
DGKA,0.0008945448638714328
ACSBG1,0.0008908380360581861
TARBP1,0.0008907245813414266
SPSB1,0.0008793670898150842
CDKN1A,0.0008783591089550927
LINC00261,0.0008728039308952054
TDO2,0.0008727404906816023
DLGAP1-AS5,0.0008709010285775833
LINC01018,0.0008632586757059213
GAPDHS,0.0008600195685929323
MESP1,0.0008462729922381517
ZNF827,0.0008462387691640352
TGFB3-AS1,0.0008459740719298119
SNHG1,0.000833579135741449
MTHFD1L,0.0008277238213960311
ZNF92,0.000825049358523398
ZNF860,0.0008242561362758443
KLF4,0.0008213642146502897
OVOL1,0.0008160515484830441
NUAK1,0.0008132377899970014
SMUG1,0.0008127472655672531
CTDSP1,0.0008125364179204093
