Feature,Importance
CDC25C,4.348725993393607e-08
ATP1A2,2.530954119221928e-08
PYGM,1.2600301569913638e-08
PTGIS,8.467285659533424e-09
CRMA,7.902896802573185e-09
ADCY5,7.787997982061589e-09
SRD5A2,6.471826973006639e-09
ASPA,6.325837086895377e-09
SLC44A1,6.26957950199027e-09
CDK1,5.700344609357501e-09
TMLHE,5.6068577709532735e-09
CYBB,5.588323735763548e-09
FGFR2,5.4004779043426044e-09
PCSK2,5.002622746038752e-09
COL4A1,4.786535283107922e-09
LDHD,4.453494489765715e-09
PCYT1B,4.400854172856688e-09
CD4,4.345447140823611e-09
PRC1-AS1,4.220704436280031e-09
PECAM1,4.101407538806335e-09
ITGB2,4.061260200105078e-09
NRXN1,4.008704678985267e-09
CYP3A5,3.948828510686199e-09
PTN,3.7130106833565818e-09
PTGIR,3.4836566758481407e-09
BLM,3.472352584723638e-09
PSLNR,3.433212803170364e-09
LAMB3,3.2910027468342888e-09
NFE2L1-DT,3.2593026764808056e-09
TP63,3.043573311211698e-09
FGF7,3.0282669997096966e-09
CTSC,2.989079541388761e-09
NRG1,2.5854011248500625e-09
THBS2,2.519086051410455e-09
COL15A1,2.25798462260662e-09
COL4A6,2.186914301270197e-09
VCAM1,2.095712501247474e-09
E2F8,2.084468815244532e-09
SLC2A12,2.0744845249227664e-09
RRM2,2.0741829289590925e-09
CA14,2.0542485685769524e-09
COL17A1,1.9770137156127077e-09
MGAT4B,1.957153357080784e-09
LINC01088,1.938619177838921e-09
TK1,1.9345242612377244e-09
COL5A1,1.931860175784536e-09
BAIAP2,1.882519633413542e-09
HCG11,1.878481832727352e-09
FOSB,1.874968140080503e-09
SLC2A10,1.8644926952843927e-09
TXNRD1,1.8621571600350256e-09
ITGA4,1.8497416717458694e-09
WAPL-DT,1.846149426822717e-09
PLG,1.814358178481217e-09
PTK6,1.787573470430259e-09
HBEGF,1.6978097207584208e-09
CLMAT3,1.6808529219329724e-09
NR4A1,1.671821304859436e-09
NRG2,1.6287676856266392e-09
JAG1,1.621908559578037e-09
SLC45A3,1.5378304046130783e-09
FENDRR,1.5323782133074103e-09
TGFB3-AS1,1.4913282109825915e-09
FYN,1.4885573571565885e-09
MGST1,1.480053507642032e-09
CDH5,1.4238210099530047e-09
CD79A,1.3920083961066531e-09
SLC12A7,1.3877524535140593e-09
CD38,1.3206359231847026e-09
MMP11,1.3199724571818864e-09
PRIM2,1.3018438447895927e-09
COL1A2,1.2905968317115978e-09
ACER1,1.2878552920448182e-09
GNE,1.2866810023781464e-09
COL8A1,1.2091844445796107e-09
NOX4,1.2012299658144757e-09
LARP1,1.197330124948446e-09
GNPTAB,1.1889113701436694e-09
NCAM1,1.1881466473738484e-09
PCAT4,1.175139146437678e-09
DGKA,1.174292318097991e-09
DLG3-AS1,1.1623803180830404e-09
SNHG18,1.1531018377971233e-09
SLC5A8,1.1522020792440011e-09
FGF14-AS2,1.1199718340719786e-09
ACACB,1.1004443505266834e-09
SPI1,1.0985861388369793e-09
LINC01511,1.0914321905874979e-09
MIR4435-2HG,1.0906646206178977e-09
EPHX2,1.072440034338272e-09
GMPR,1.0675502238138397e-09
LPCAT1,1.0665927397174466e-09
CYP27A1,1.0644137056265847e-09
FARS2-AS1,1.0588782817650555e-09
SLC9A3-AS1,1.053888436442295e-09
PLCD4,1.0460218453415655e-09
GABRQ,1.035172058153354e-09
