pmcid	pmcidTitle	table	column	description	geneSetSize	nOverlap	oddsRatio	pvalue	adjPvalue	geneSetHash
PMC11658306	GG-NER’s role in androgen receptor signaling inhibitor response for advanced prostate cancer	12964_2024_1977_MOESM2_ESM.xlsx	Table_S8-Supplementary_Table_8_Differentially_expressed_genes_between_the_high-_and_low-risk_groups_in_TCGA-PRAD		465	31	17.425641025641024	8.446897515736313e-31	6.573502350208735e-25	482380fe-36a5-5770-8b1e-ecf62c698fec
PMC5059623	Network diffusion-based analysis of high-throughput data for the detection of differentially enriched modules	srep34841-s3.xls	GHIASSIAN-symbol	Supplementary Data S2	347	26	19.585014409221902	5.791696557831091e-27	2.2535925683762615e-21	0fc4925b-45dc-5d64-9cce-91c8162e49d2
PMC6224529	TGF-β-associated extracellular matrix genes link cancer-associated fibroblasts to immune evasion and immunotherapy failure	41467_2018_6654_MOESM3_ESM.xlsx	Sheet1-ID	CIBERSORT27 and found that the ECM-up signature was associated with a greater fraction of M**1**  Supplementary Data 1	1691	42	6.492107537642723	2.2936991502506545e-25	5.94997028070771e-20	5f38410d-f667-589c-b75e-ff41a64aebd0
PMC10968713	Single-cell RNA combined with bulk RNA analysis to explore oxidative stress and energy metabolism factors and found a new prostate cancer oncogene MXRA8	aging-16-205599-s005.xlsx	cc_deg-gene		1207	37	8.012618698617041	4.560104893667726e-25	8.871855074564073e-20	04691078-84e6-5781-aa41-b54b218bd3a3
PMC3847372	Splice variants of zinc finger protein 695 mRNA associated to ovarian cancer	1757-2215-6-61-S2.xlsx	con_cambio_lista_txt-Gene_Symbol	malignancies (both MOT and OCL) clustered together but distant of HOT and BOT (Figure **2**)  Additional file 2Table of genes expressed in ovarian samples  Click here for file	848	32	9.863570391872278	4.1880616199060906e-24	6.518424747070437e-19	d30fd4f7-a147-5f6a-8ad6-9840949efa57
PMC8184830	Single-cell RNA sequencing of human nail unit defines RSPO4 onychofibroblasts and SPINK6 nail epithelium	42003_2021_2223_MOESM4_ESM.xlsx	Polydactyly_integrated-Supplementary_Data_1_List_of_differentially_expressed_genes_in_each_cell_cluster_identified_by_Seurat_in_polydactyly	unit containing onychofibroblasts by removing volar skin, distal phalangeal bone and nail plate (Fig. **1**)  Supplementary Data 1	1724	41	6.216223451722291	6.2394229890629195e-24	8.092687602389333e-19	c0f6ae96-9594-57b4-97d4-361c35fbe532
PMC8184830	Single-cell RNA sequencing of human nail unit defines RSPO4 onychofibroblasts and SPINK6 nail epithelium	42003_2021_2223_MOESM4_ESM.xlsx	Polydactyly_integrated-Unnamed_7	unit containing onychofibroblasts by removing volar skin, distal phalangeal bone and nail plate (Fig. **1**)  Supplementary Data 1	1724	41	6.216223451722291	6.2394229890629195e-24	8.092687602389333e-19	c0f6ae96-9594-57b4-97d4-361c35fbe532
PMC10709603	Delineating the early dissemination mechanisms of acral melanoma by integrating single-cell and spatial transcriptomic analyses	41467_2023_43980_MOESM4_ESM.xlsx	Figure_1-Figure_1d	Source Data	1837	41	5.843385622011576	6.562532545764846e-23	6.661306649378748e-18	6c8eb91f-6171-52e7-b23b-377c804cb7e6
PMC10709603	Delineating the early dissemination mechanisms of acral melanoma by integrating single-cell and spatial transcriptomic analyses	41467_2023_43980_MOESM4_ESM.xlsx	Suppl_Fig_2-Supplementary_Figure_2b_2c	Source Data	1841	41	5.830668787143216	7.127520967204746e-23	6.661306649378748e-18	53a3abae-db99-59fd-8bb5-6d90f60414c6
PMC8881251	Organoids from human tooth showing epithelial stemness phenotype and differentiation potential	18_2022_4183_MOESM3_ESM.xlsx	ERM_vs_P4-DEGs_ERM_versus_P4_organoids	Supplementary file3 (XLSX 147 KB)	1725	40	6.0610925306577474	7.703752798957708e-23	6.661306649378748e-18	10b82618-895f-5ee7-9fd1-2eacc5f93392
