term	CountInEnrichedGSEs	OtherTermsInEnrichedGSEs	TotalGSEsWithTerm	TotalOtherTerms	OddsRatio	Pvalue	AdjPvalue
breast cancer	188	3228	459	17999	2.283810233442131	1.6887308544700809e-18	2.1615754937217035e-16
prostate cancer	139	3277	299	18159	2.5760785366336574	1.767223024246934e-17	1.1310227355180377e-15
melanoma	71	3345	162	18296	2.39719500267582	9.857062603522072e-9	4.205680044169418e-7
sars cov 2	89	3327	231	18227	2.110767601299612	2.341537958769732e-8	7.492921468063142e-7
glioblastoma	69	3347	166	18292	2.271676487845616	9.586608069487948e-8	0.000002454171665788915
neuroblastoma	46	3370	98	18360	2.5572579180039967	0.000001281479683670053	0.0000273382332516278
acute myeloid leukemia	94	3322	280	18178	1.8370301883546916	0.0000017260022565281966	0.00002913853581738939
alzheimers disease	67	3349	176	18282	2.0781203344281876	0.000001821158488586837	0.00002913853581738939
non small cell lung cancer	38	3378	82	18376	2.5209317102052013	0.000011087724849290178	0.00015353073660898494
colorectal cancer	80	3336	240	18218	1.820343725019984	0.000011994588797576949	0.00015353073660898494
ovarian cancer	45	3371	111	18347	2.2064589062512527	0.00003094028139317621	0.00036003236530241406
disease modeling	12	3404	17	18441	3.824082394414875	0.0007872543674532055	0.008186685548124293
lung cancer	33	3383	86	18372	2.083866665750091	0.0008314602509813736	0.008186685548124293
idiopathic pulmonary fibrosis	19	3397	39	18419	2.6415540107032602	0.0015195258776012953	0.013892808023783272
clear cell renal cell carcinoma	19	3397	40	18418	2.5753753311745657	0.0016691350483010025	0.014243285745501887
bladder cancer	21	3395	49	18409	2.3238796549547653	0.0024345366980545596	0.01902492616732386
osteoarthritis	19	3397	43	18415	2.3953077612941653	0.0025267480065977004	0.01902492616732386
glioblastoma multiforme	12	3404	21	18437	3.0950142689273124	0.00293563708549408	0.020875641496846793
down syndrome	15	3401	32	18426	2.5396023228462217	0.004372078657103539	0.028617672819107064
ewing sarcoma	19	3397	44	18414	2.340741831027377	0.004471511377985479	0.028617672819107064
inflammatory bowel disease	22	3394	57	18401	2.092557557712785	0.004837382994182334	0.029485001107397085
diabetes	21	3395	55	18403	2.0696907216494846	0.006625382376108338	0.03854767927917579
microcephaly	9	3407	15	18443	3.2479600821837393	0.007653576720298478	0.04068524331463545
zika virus	16	3400	38	18420	2.2811145510835913	0.007943448935726703	0.04068524331463545
parkinsons disease	24	3392	66	18392	1.971698113207547	0.007946336584889737	0.04068524331463545
amyotrophic lateral sclerosis	22	3394	60	18398	1.987605578471813	0.0087833645190579	0.04324117917074658
coronavirus disease 2019	15	3401	35	18423	2.3215440836728694	0.00972791867116163	0.04547946700214258
ataxia telangiectasia	7	3409	10	18448	3.788090349075975	0.010303941742672929	0.04547946700214258
growth	7	3409	10	18448	3.788090349075975	0.010303941742672929	0.04547946700214258
hormone receptor positive breast cancer	5	3411	5	18453	5.4098504837291115	0.01171515428467862	0.04998465828129544
bacterial infection	6	3410	8	18450	4.05791788856305	0.013972938801894904	0.051389489899865914
duchenne muscular dystrophy	6	3410	8	18450	4.05791788856305	0.013972938801894904	0.051389489899865914
testicular germ cell tumors	6	3410	8	18450	4.05791788856305	0.013972938801894904	0.051389489899865914
merkel cell carcinoma	8	3408	14	18444	3.0925553319919517	0.014378596316360097	0.051389489899865914
diabetes mellitus	8	3408	14	18444	3.0925553319919517	0.014378596316360097	0.051389489899865914
cardiovascular disease	12	3404	27	18431	2.406449928189059	0.014453294034337288	0.051389489899865914
colon cancer	18	3398	48	18410	2.03170982931136	0.015824474810861945	0.054744129075414295
fibrotic disease	5	3411	6	18452	4.507964428808756	0.01874868607592984	0.06153414917228255
mitochondrial disease	5	3411	6	18452	4.507964428808756	0.01874868607592984	0.06153414917228255
autism	7	3409	12	18446	3.1563997262149215	0.020095871073599652	0.0642091149202431
squamous cell carcinoma	10	3406	21	18437	2.5776640662136847	0.021321924708584655	0.0642091149202431
hepatitis b virus	10	3406	21	18437	2.5776640662136847	0.021321924708584655	0.0642091149202431
schizophrenia	17	3399	46	18412	2.0018931399260653	0.021850432546674393	0.0642091149202431
obesity	26	3390	81	18377	1.7400560836155723	0.022071883253833566	0.0642091149202431
huntingtons disease	10	3406	22	18436	2.4603640634174986	0.024653040728371718	0.07012420473847955
heart failure	12	3404	28	18430	2.3203793855967767	0.025545256449047295	0.07108245272778378
facioscapulohumeral muscular dystrophy	7	3409	13	18445	2.9134417943452853	0.026844402608379267	0.07225785927319513
human cytomegalovirus	12	3404	29	18429	2.2402447424936183	0.027773240404174393	0.07225785927319513
nephrotic syndrome	6	3410	10	18448	3.245982404692082	0.028225726278591847	0.07225785927319513
arrhythmogenic cardiomyopathy	6	3410	10	18448	3.245982404692082	0.028225726278591847	0.07225785927319513
diffuse large b cell lymphoma	16	3400	47	18411	1.843404255319149	0.037464419800337864	0.09177659197914753
brain metastasis	6	3410	11	18447	2.950733137829912	0.038001245116365774	0.09177659197914753
rhabdoid tumor	6	3410	11	18447	2.950733137829912	0.038001245116365774	0.09177659197914753
psoriasis	13	3403	34	18424	2.0700765760315294	0.040676865222550124	0.09641923608308177
hepatocellular carcinoma	43	3373	163	18295	1.4308592776632916	0.04245829385518306	0.09881202933569876
pancreatic cancer	22	3394	71	18387	1.6786624283117682	0.04349691105716051	0.09942151098779546
leukemia	17	3399	52	18406	1.7703283771244935	0.045716407788963846	0.10266140696469074
chronic kidney disease	9	3407	22	18436	2.2136777223363664	0.047847158160351504	0.10559372835387917
breast carcinoma	6	3410	12	18446	2.704692082111437	0.049689311990468193	0.10600386557966548
atrial fibrillation	6	3410	12	18446	2.704692082111437	0.049689311990468193	0.10600386557966548
human cancer	8	3408	18	18440	2.4047991653625456	0.051679920095210954	0.10669402858366132
mantle cell lymphoma	8	3408	18	18440	2.4047991653625456	0.051679920095210954	0.10669402858366132
liver disease	5	3411	9	18449	3.0048210039414966	0.05428252032294944	0.10856504064589888
lung squamous cell carcinoma	5	3411	9	18449	3.0048210039414966	0.05428252032294944	0.10856504064589888
myocardial infarction	10	3406	25	18433	2.16476805637111	0.05682823503514692	0.11190790899228932
type 2 diabetes	22	3394	74	18384	1.6103457612002103	0.06511221962420467	0.12627824411966967
high grade serous ovarian cancer	10	3406	27	18431	2.004197385876775	0.06751084707481178	0.12876742396341456
hyperglycemia	7	3409	15	18443	2.5247091033538673	0.06840769398056398	0.12876742396341456
er positive breast cancer	5	3411	10	18448	2.7041923189680444	0.07129238924980066	0.13036322605677836
inflammatory skin disease	5	3411	10	18448	2.7041923189680444	0.07129238924980066	0.13036322605677836
mycobacterium tuberculosis	10	3406	28	18430	1.9325140508346614	0.07474837635815296	0.134757636251318
human papillomavirus	9	3407	23	18435	2.11731601179158	0.08159995486006622	0.1450665864178955
influenza a virus	11	3405	31	18427	1.9202974752498698	0.08400809903591834	0.14730187228215819
pu1	7	3409	17	18441	2.2274429278898418	0.08544300007542693	0.1477932974277655
wilms tumor	5	3411	11	18447	2.4582233948988566	0.09086814514580463	0.15508163438217323
endogenous retroviruses	9	3407	25	18433	1.947719401232756	0.09489901108135337	0.15540856002365405
lung adenocarcinoma	16	3400	53	18405	1.6341842397336293	0.09501928108453468	0.15540856002365405
neurodegenerative disease	11	3405	33	18425	1.8037200195790504	0.09523192969645737	0.15540856002365405
atopic dermatitis	7	3409	18	18440	2.1035820214464978	0.09713035001478378	0.15540856002365405
type i ifn	7	3409	18	18440	2.1035820214464978	0.09713035001478378	0.15540856002365405
autism spectrum disorder	11	3405	34	18424	1.7505744147879416	0.10274158485955792	0.15694911092230518
osteosarcoma	11	3405	34	18424	1.7505744147879416	0.10274158485955792	0.15694911092230518
fragile x syndrome	6	3410	13	18445	2.4965034965034967	0.10299785404276277	0.15694911092230518
epilepsy	6	3410	13	18445	2.4965034965034967	0.10299785404276277	0.15694911092230518
intellectual disability	12	3404	36	18422	1.8039561300430866	0.10714117724376401	0.16134200808472698
esophageal squamous cell carcinoma	12	3404	38	18420	1.7088255303358277	0.11629568645064375	0.17267660677700455
ulcerative colitis	8	3408	21	18437	2.0609210820478427	0.11736613116874528	0.17267660677700455
endometriosis	6	3410	16	18442	2.0280791788856307	0.1399084989717199	0.19898097631533496
dilated cardiomyopathy	6	3410	16	18442	2.0280791788856307	0.1399084989717199	0.19898097631533496
clinical outcome	6	3410	16	18442	2.0280791788856307	0.1399084989717199	0.19898097631533496
cervical cancer	8	3408	24	18434	1.8030125195618154	0.1447844608692678	0.20143924990506826
endometrial cancer	8	3408	24	18434	1.8030125195618154	0.1447844608692678	0.20143924990506826
head and neck squamous cell carcinoma	11	3405	35	18423	1.700465701699182	0.15037537025850678	0.20696825153858997
metastatic melanoma	5	3411	12	18446	2.2532492915078666	0.16859655680174068	0.21877592480805363
coronaviruses	5	3411	12	18446	2.2532492915078666	0.16859655680174068	0.21877592480805363
cutaneous melanoma	5	3411	12	18446	2.2532492915078666	0.16859655680174068	0.21877592480805363
pediatric cancer	5	3411	12	18446	2.2532492915078666	0.16859655680174068	0.21877592480805363
