term	CountInEnrichedGSEs	OtherTermsInEnrichedGSEs	TotalGSEsWithTerm	TotalOtherTerms	OddsRatio	Pvalue	AdjPvalue
p53	97	13253	178	73873	3.0375488441455274	2.536360453556425e-16	1.1616530877288427e-13
androgen receptor	69	13281	167	73884	2.298540934845917	5.161147674999474e-8	0.000011819028175748796
pd l1	34	13316	74	73977	2.5525257158630543	0.00002153353094915732	0.0019724714349428104
ezh2	34	13316	72	73979	2.623500133506892	0.000016242440793411298	0.0019724714349428104
tgf β	42	13308	101	73950	2.310751814586328	0.000019430432813992127	0.0019724714349428104
p21	20	13330	35	74016	3.1729075125924338	0.00010248047523570403	0.006705151093993207
stat3	35	13315	84	73967	2.314651395669045	0.00009477419664652678	0.006705151093993207
nf κb	50	13300	145	73906	1.916152450090744	0.0001926880090922918	0.008022828014933604
c myc	29	13321	67	73984	2.403943050306608	0.00018310816225289837	0.008022828014933604
estrogen receptor	23	13327	46	74005	2.776506340511743	0.00016029904796240022	0.008022828014933604
histone deacetylase inhibitor	28	13322	63	73988	2.4683647767268844	0.00018997505739028387	0.008022828014933604
temozolomide	16	13334	26	74025	3.416367643156304	0.0002670276512251875	0.010191555355094658
cell death	27	13323	62	73989	2.4184505088217563	0.0003052906054013686	0.010755622867217447
angiotensin converting enzyme 2	15	13335	25	74026	3.3307536557930257	0.0005022675605051391	0.01643132447938241
yap	22	13328	50	74001	2.4430102040816326	0.0008957874157905133	0.016723936346707855
brg1	13	13337	21	74030	3.4361621982526236	0.0009493937664069961	0.016723936346707855
pten	17	13333	32	74019	2.949268262956574	0.0009213932326264194	0.016723936346707855
biomarker	41	13309	120	73931	1.8979456257670249	0.0008806465926237997	0.016723936346707855
h3k9me3	18	13332	36	74015	2.7758400840084008	0.0008850166517936377	0.016723936346707855
dot1l	11	13339	15	74036	4.0702501436889325	0.0008656336699038734	0.016723936346707855
erα	12	13338	17	74034	3.9180757323172184	0.0006458132719356626	0.016723936346707855
tp53	24	13326	54	73997	2.4679240248803507	0.000697732442107885	0.016723936346707855
estrogen receptor alpha	22	13328	48	74003	2.5448710734293716	0.0006486071467880217	0.016723936346707855
mdm2	14	13336	24	74027	3.2380336432713457	0.0009409153195231685	0.016723936346707855
sting	12	13338	18	74033	3.7003548757934723	0.0009276506540117673	0.016723936346707855
interleukin 10	12	13338	17	74034	3.9180757323172184	0.0006458132719356626	0.016723936346707855
cytarabine	10	13340	13	74038	4.269288432706723	0.001151594997607244	0.01950073032215397
mtor	23	13327	54	73997	2.364916390841205	0.0011921843865072296	0.01950073032215397
retinoic acid	16	13334	30	74021	2.96069196540173	0.0013539710553860493	0.020670624778893688
doxorubicin	16	13334	30	74021	2.96069196540173	0.0013539710553860493	0.020670624778893688
yap1	16	13334	31	74020	2.865147065227384	0.001542339839744584	0.02278682730977482
atf3	11	13339	17	74034	3.591300168016828	0.0017916483354170319	0.022980965915689554
h3k27 acetylation	16	13334	32	74019	2.7755737213139344	0.0018063641331109695	0.022980965915689554
retinoblastoma protein	12	13338	20	74031	3.330229419703104	0.0017999597201977197	0.022980965915689554
mycn	16	13334	32	74019	2.7755737213139344	0.0018063641331109695	0.022980965915689554
2 hydroxyglutarate	10	13340	14	74037	3.9642857142857144	0.0017056445666263883	0.022980965915689554
myc	51	13299	169	73882	1.6764983441830168	0.0018692751531296202	0.023138595138739625
genomic alterations	7	13343	7	74044	5.549276774338605	0.0024567231127323387	0.025361809786416226
p16ink4a	10	13340	15	74036	3.699950024987506	0.0024567835243195176	0.025361809786416226
progesterone	10	13340	15	74036	3.699950024987506	0.0024567835243195176	0.025361809786416226
tead1	9	13341	12	74039	4.162300427254329	0.002293990340463698	0.025361809786416226
mettl14	11	13339	18	74033	3.3917376781534516	0.002491880874211201	0.025361809786416226
epstein barr virus	16	13334	33	74018	2.6914290649103907	0.002156086361449364	0.025361809786416226
muc1 c	10	13340	15	74036	3.699950024987506	0.0024567835243195176	0.025361809786416226
interleukin 1	7	13343	7	74044	5.549276774338605	0.0024567231127323387	0.025361809786416226
collagen	14	13336	27	74024	2.878135484014308	0.003304095372440011	0.026371725002393452
mitf	10	13340	16	74035	3.468656296851574	0.0034512521833292937	0.026371725002393452
chemokine	29	13321	83	73968	1.940112676514933	0.00347947112077311	0.026371725002393452
palbociclib	15	13335	32	74019	2.6019052305961754	0.0036851318780637137	0.026371725002393452
atf4	16	13334	35	74016	2.5375645503439115	0.0031607710766517966	0.026371725002393452
