"","H005","H010","H011","H012","H013","H014","H015","H016","H017","H019","H020","H021","H023","H027","H028","H029","H030","H031","H033","H035","H036","H037","H038","H039","H040","H041","H042","H043","H044","H045","H046","H047","H048","H049","H051","H053","H054","H055","H056","H057","H058","H059","H060","H062","H063","H065","H066","H069","H072","H073","H077","H078","H079","H080","H081","H082","H084","H088","H089","H090","H093","H094","H095","H099","H100","H101","H102","H103","H104","H105","H107","H108","H109","H110","H111","H113","H115","H117","H118","H135","H148","H163","H164","H165","H167","H169","H171","H173","H187","H192","H194","H225","H228","H231","H233","H234","H236","H238","H239","H240","H242","H243","H246","H247","H249","H255","H257","H260","H265","H266","H270","H271","H272"
"ADNP2_TF",0.358084922520145,0.331851695732767,0.42620215927268,0.285600876615124,0.33748734817654,0.33413404646085,0.328350656186416,0.423753281697944,0.332408979427122,0.328064549275292,0.329335833113466,0.274673410157039,0.286383270501685,0.272639988052183,0.312578958762225,0.248644725544818,0.382606584223467,0.370305709144523,0.407408266059308,0.41347941640477,0.408094497016694,0.382396524033021,0.4281733373643,0.380596100703959,0.445334209605371,0.336960517696122,0.391045524713659,0.334336218763894,0.405756788962019,0.336511946717463,0.359803668862201,0.311305840694473,0.297735356494053,0.430325561432044,0.355970485301049,0.388561530302032,0.353035533122314,0.285664709805241,0.310934880084893,0.355993036368054,0.305770543890645,0.407396388828948,0.305941520999865,0.372444440635588,0.333990073399167,0.313709340841234,0.343792729558219,0.267494730945427,0.372136014082761,0.451292043121161,0.389549976488293,0.260077593068298,0.39016292029763,0.330408839912059,0.318541667950449,0.392452345074134,0.348303404327358,0.421183299525987,0.440687136595318,0.31149463824754,0.36248720888526,0.363625986477195,0.328268254825835,0.416207443055075,0.428458011296145,0.375266540886994,0.345124638399865,0.419619124721388,0.372036882061024,0.416162883397003,0.339602166303425,0.254696337845093,0.437297144149278,0.392819174342615,0.31880278566805,0.403934972493769,0.349052216333116,0.394617616679227,0.222027450216635,0.409299611123987,0.378563845716621,0.431493112729121,0.347821079041904,0.40151268675013,0.423114015454284,0.452896274996544,0.391749211257185,0.354885932029735,0.344521888419919,0.350814026319224,0.448792791911906,0.418192401504249,0.37321049524208,0.362301917596425,0.308056550743897,0.341141236284461,0.312070590584846,0.371469273113993,0.40731536501841,0.425005294103631,0.409166790059298,0.301662997044893,0.35942424736644,0.426423037799573,0.369474552793096,0.324029480450741,0.362419904774613,0.400255093397607,0.346979647590317,0.3072165050113,0.279802013356195,0.329970546186391,0.25654542409647
"AEBP1_TF",-0.0127951700774921,-0.0423438435685647,-0.0790312241375785,-0.00786512162398299,-0.00321789593992235,-0.051876942230839,-0.060304886355778,-0.0368018918125081,-0.0170334671950286,-0.0449218405146612,-0.0964341522278391,-0.0729773083017642,-0.0010681178048897,0.0071828053561074,-0.0217065094958501,-0.0338858492372562,-0.020296206427676,-0.043917365988614,-0.0801810259661394,-0.0438066736113197,-0.0709733077237019,-0.100408839168982,-0.0994603088645395,-0.0980540125563892,-0.0428174181641362,-0.0926625728980789,-0.0257201869171415,-0.00925333560011282,-0.0222117154633234,-0.00208627898433408,-0.0422042717609171,0.0133233965009412,-0.0383106285725565,-0.0658462876181558,-0.0262101609021876,-0.0264167811859687,-0.106883569085975,-0.0867667008980355,-0.0665366597119251,-0.0695806567508905,-0.0349120668724339,-0.0291554865098324,-0.089747654998866,-0.0236678249501309,-0.00582314118971483,-0.00679732352891472,-0.0365627953799391,-0.0163110717409084,-0.00352716207437208,-0.0915661213326405,-0.0751447198440636,-0.0202257509005387,0.000883198576826266,-0.00619957518873673,-0.0589121283741317,-0.0627175766827702,-0.031393239802172,-0.074656607335769,-0.062706866056593,-0.0265485828595969,-0.0447696048459516,-0.00970616726135697,0.0216888989784838,-0.087706893312076,-0.0758558143850963,-0.0241020547678884,-0.022192345551774,-0.0175737949049078,-0.0364523902243042,-0.0533888993220617,-0.00790926941175935,-0.0709879946143632,-0.057786276561562,-0.086253115382579,0.0161797459022802,-0.0617838183054104,-0.083480683272607,-0.0394599708084833,-0.0364636529391867,-0.108008113706636,-0.0266327170878758,-0.0901737752654775,-0.00449157508750106,-0.0310720786015787,-0.0230662996856032,-0.0844065324691959,-0.0250991665632069,-0.038093191485835,-0.034234776200124,-0.0217860464767788,-0.0867739491918422,-0.0830126219275816,-0.0122850608173361,0.0129706733948798,0.00431878670704378,-0.00134861037376171,-0.0717718146416819,-0.0496399615412393,-0.0561626967533569,-0.0721038416029668,-0.0539727554526135,-0.0422831685315413,-0.0298701706608134,-0.0206287126092469,-0.0435495946252977,-0.00518428458911396,-0.0264913013678243,-0.0356096137912165,-0.0282779430617363,-0.0925108391761451,-0.0454108401094757,-0.0804035489044994,-0.017623933560112
"AFF1_TF",0.138944445638633,0.105991677577508,0.178722209713124,0.0954763405942464,0.130506751314383,0.142693524428801,0.160247409879942,0.181440663360633,0.120509172774325,0.126021606098183,0.159392556111734,0.189356150737542,0.0965044237968962,0.0788483437386942,0.23965588947299,0.156195242969706,0.133453215230143,0.198754137645086,0.175831126182578,0.167396323663321,0.177935181530597,0.192246075805159,0.192153671054147,0.183506459530332,0.156711887058487,0.170833479260832,0.130087155974565,0.100160215955103,0.148642113439883,0.138458183310694,0.189117517352295,0.119825573657671,0.149412902315185,0.171634699478103,0.177840039802353,0.173344370863096,0.180172216239194,0.198278412959016,0.166358234073686,0.155354510730173,0.131467197675855,0.234331908963662,0.181072974210335,0.239960195478688,0.174754586399784,0.139167631876127,0.126556080237746,0.121806385659753,0.138336949184631,0.135521133779586,0.12772416492555,0.123816009242632,0.117482715731176,0.142967105411394,0.142582286280766,0.181563939149405,0.120796109778549,0.186805805065511,0.145501850477349,0.158069977983478,0.144474962926352,0.191033452280695,0.0929673694026402,0.176394351338595,0.162422134051981,0.169534606786136,0.169000007524411,0.160146744392673,0.13401227189903,0.175662736370804,0.136872635504616,0.156874989216666,0.210332218092436,0.203467412171018,0.0960956828980842,0.239352904797436,0.194137350631958,0.123471795985914,0.152491077876145,0.195202645945679,0.147871624403321,0.169766472808113,0.11418129821785,0.127538249636203,0.119617539641508,0.245506793696606,0.131151823468396,0.155296808952921,0.134522532376664,0.155813598325516,0.245906845661487,0.180003714649672,0.174047308402423,0.126964879486381,0.102026729991958,0.185262435842684,0.186184028076438,0.194437972059181,0.231492446500597,0.185067993100926,0.155452183623389,0.118809196037304,0.147996857163844,0.223969602890077,0.216113656956155,0.137182126951777,0.139378847136231,0.130948801576219,0.139815105127636,0.184020073569743,0.125914775727835,0.202713021035573,0.140569722500966
"AHCTF1_TF",0.390522450427187,0.393741947769444,0.421955455840021,0.3113788786349,0.35947674595942,0.336818838571725,0.358038034628945,0.421021348880296,0.329353956192825,0.371616375871949,0.327948122459354,0.307486385352871,0.329695840751066,0.279153790644459,0.327508251424719,0.282529248971195,0.405795227626267,0.387348769888609,0.424663239890691,0.416896619569709,0.37862058072776,0.376264814824165,0.426177865001548,0.372646514650261,0.405723309692282,0.338907944791999,0.382335447421968,0.320102106622773,0.401710805304373,0.346897109865635,0.364689371800188,0.312486307093003,0.3168124023736,0.454281600236596,0.348748800292111,0.376023995783932,0.351896644820983,0.309223565663923,0.351885919281831,0.356068523395234,0.318275788914725,0.409938262240282,0.350930495138213,0.366307168193706,0.359313163190716,0.3347869286228,0.362382438815916,0.302896197211894,0.366928267103043,0.487502039446332,0.436309126287051,0.282083414122403,0.406188447525578,0.32236115019265,0.326032107908826,0.412890094673081,0.358391051809834,0.393992351368988,0.463049039963397,0.341225650165654,0.396689414036829,0.364352974315371,0.327339155417158,0.40960186175822,0.431353149443011,0.37719614849406,0.344220702057159,0.402246703004428,0.360637548254443,0.441721392716754,0.337486188281327,0.282550015661262,0.429303704842404,0.382965411595543,0.336651978419925,0.379033571123071,0.355180100413948,0.411333132902366,0.266527152362345,0.393530156158995,0.380771513321497,0.434137519780585,0.348087611965307,0.398076888321454,0.404984633174874,0.435948593691037,0.398175586066465,0.353028548640224,0.370397951780133,0.359603252822748,0.418224717204146,0.40727884544121,0.390255604032207,0.368374568186884,0.327412890169519,0.341717534407023,0.352278256107116,0.366248210838856,0.391935668287221,0.413636204205299,0.372390789849111,0.304388181561997,0.335548609299757,0.422478791410065,0.35710756778619,0.309082839262378,0.348617042005995,0.398277812037088,0.334835192616465,0.317395817098612,0.292687568488941,0.341831496640054,0.277802466834557
"AHDC1_TF",0.0468122433904076,0.0221686016494441,-0.0278919655659357,0.0671166641552142,0.0323151812471477,0.00663610955727658,-0.0191261417342951,-0.0226759150525116,0.0252447571061167,0.0351464187976255,-0.03143549401111,-0.0143217685995861,0.0504180701172207,0.0651430987581439,-0.011742191529584,0.047749564823926,0.00944295667621785,-0.00789689136124285,-0.0436786843716583,-0.0158483229873519,-0.017705473238506,-0.0372136148573601,-0.0476183942888415,-0.0288678956269324,0.0472840547685152,-0.0201045559549115,0.0216994552732237,0.0335474211827136,0.0530124255283237,0.0376493407851776,-0.00579940041693558,0.0540912310928643,0.0176752461913779,8.12068763207505e-05,-0.00322522107144821,0.0151471738420336,-0.0521881440479592,-0.0261513512013303,-0.0289622427274027,-0.011215929994338,0.0446068671680656,-0.0508449093352089,-0.0309359205536723,-0.0384047234353793,0.00578371012697808,0.00892489255251065,-0.0139205879204145,0.0305816124339079,0.0262759052537452,-0.0429135225511938,0.00104402196409675,0.0524734262327931,0.017551630382776,0.032917689472619,-0.00188545957337571,-0.0211411063886491,0.0164423235422494,-0.00688036473747348,-0.0318615780443976,0.0256952140245717,-0.0106163473860423,-0.0182860414879294,0.0640538077490657,-0.0250720131352671,-0.0198889373382329,0.00908463566768277,0.00241531266837524,0.0132105163639705,0.00673253140784281,-0.00549736851327577,0.013062452025413,-0.0210118370871251,-0.0309009488803846,-0.055713155415168,0.0606337192260201,-0.0196641431868085,-0.0122846070781495,0.00557038702178066,0.0220301696493892,-0.0569312647873083,0.0165355858164868,-0.0525321588332515,0.0405239911245859,0.00389099996803147,0.0234141040591479,-0.0525854267073335,0.015288632377833,0.0331699956493775,-0.00473781046908224,0.0410287257509217,-0.0489068993423864,-0.030648007050374,0.0133998795200358,0.0300652533099299,0.0407307207163898,-0.00347949968591364,-0.0352261860547089,-0.033593416461992,-0.0451506217168067,-0.020792051541079,0.0193966609797027,0.00873843705343781,0.00123255868995934,-0.0242270005846883,-0.0402743289729107,0.0113649333502397,-0.000291389671231533,0.0420804428529017,0.0163236711438371,-0.0209609372455801,0.0328810436926762,-0.0328450750253767,0.0376707979258874
"AIRE_TF",-0.0306740977372825,-0.0257847868240833,-0.029572766154649,-0.04813590203711,-0.0197849042586945,-0.0142021554149414,0.0123356955951557,0.00337866255215309,-0.0484522754644073,-0.0718955736281839,0.0208303495088728,0.0032957423386334,-0.037368805993788,-0.0189754525206414,-0.0335249864348405,-0.0389522615930931,-0.0277045863789551,0.0489687671626743,-0.0231071934805987,-0.00845987802479817,0.00184899917228329,0.011526985987702,-0.0376208948331209,0.000526989490557904,-0.0125278237043818,0.0183550053399523,-0.0203282672209574,-0.00652888278921906,-0.0422862991226157,-0.034757104414714,0.0106144407195971,-0.0367718065163745,-0.0551542841578383,-0.0427300844721283,0.0318306625188754,-0.0269414473294484,0.0233348163502038,0.0261822783911476,-0.0252384312914038,-0.0469121005471729,-0.0536446942920764,-0.00922116197242341,-0.0391245647145222,-0.0189246588547274,-0.0193435000295923,-0.0540400589597573,-0.0678188512693302,-0.0550008366676297,-0.0514082960027278,-0.0424000599662337,-0.0514175995765811,-0.0225226417476073,-0.0503425868766598,-0.0328045906680363,0.00855644989811943,0.00834106834255741,-0.0426831582815318,-0.0224850788786942,-0.0179228414075276,-0.0405433130168576,-0.0417971578642897,-0.0209475712626246,-0.0428139669102396,-0.0238186682509079,-0.0128991955467407,-0.00503948429379141,0.0308826029112256,-0.05495018006546,-0.0212452061741711,-0.0214673855150262,-0.0481593855525224,0.0326075711201159,0.0302712922271506,0.039819745621595,-0.068843561027505,0.0384512498601256,0.00130691742862479,-0.0545143125869699,-0.0208337863212357,0.0509647847306189,-0.0515601051759624,-0.0113384111046051,-0.0402366850168347,-0.0306816007567511,-0.0273510959641793,0.0491330886645342,-0.0556323976964602,-0.0498004080233164,-0.0582450074372121,-0.0206775587283756,0.0105520670610277,-0.0275207664602387,-0.0295587400660753,-0.0323108738712894,-0.0400264005323286,-0.0071662984368038,-0.00807874695390311,0.026675780401083,0.0145538534206646,-0.0266577741441301,-0.0297460509382801,-0.0181007869063484,-0.0115130804133207,-0.0193166978306828,-0.00464276340448343,-0.0427617768838617,0.00120772339213762,-0.0242614415561921,-0.036330830347754,-0.0138122302728009,-0.0524909162414561,-0.0375406072787546,-0.0435254113949715
"AKAP8L_TF",0.228888646442541,0.266867208090015,0.259993149937171,0.290398957180565,0.283296228434009,0.298825682772386,0.274693111345607,0.265135578049232,0.298920624446395,0.296373799812726,0.294674431964632,0.301476620814642,0.294443124172701,0.353336937849425,0.296330736126488,0.321800544866845,0.271367206286878,0.313562754851115,0.232309003728983,0.264634039024335,0.279648206590159,0.252761047264888,0.23007584058734,0.27233871457405,0.254922611611899,0.30292490926923,0.305179267448597,0.318669880558945,0.29462249558652,0.308377038467594,0.279278235804512,0.327278785639196,0.282329177354996,0.234234941740492,0.32893770547104,0.250542395287229,0.264955189329163,0.289046196250706,0.269143015699736,0.264293505049822,0.280540152596579,0.260652371418457,0.236664793654809,0.29490745137234,0.280103935795044,0.289580890637513,0.255916674700393,0.302057995725817,0.277754124911716,0.1392354892133,0.259226211314144,0.309770730480825,0.275846127582183,0.306398325093142,0.33056407968968,0.260337388675866,0.283295078077163,0.230855462292033,0.226787660012832,0.267121378511199,0.257711627948238,0.305874918986131,0.343266966809939,0.231489349696832,0.233117046239903,0.287218866799336,0.325583329688254,0.259744723457315,0.291902220616251,0.25926875425459,0.298011077954215,0.318418709965749,0.251131768854353,0.257954692115908,0.305624617623587,0.299925319446945,0.260899875884308,0.261191648181087,0.347365306241217,0.237044836608903,0.295575321440827,0.236708785153805,0.292158393813568,0.248169290795863,0.267321097506502,0.270635123568348,0.266940770858669,0.278274628028211,0.275556360269221,0.310591455757774,0.266744316594098,0.246690539568071,0.259657664281921,0.292427424062165,0.304698220537475,0.313701656128181,0.27289573191633,0.285457610893091,0.27418447947714,0.253558469555392,0.292460682244667,0.301555036751786,0.29849683100816,0.259395771450169,0.295583663347181,0.308902299641653,0.298463135843023,0.284842162619562,0.304953358342955,0.275025512041058,0.280041987133203,0.263540371547594,0.33370409944135
"ANKRD1_TF",-0.0688907301637871,-0.0338095763765547,-0.112189800298669,-0.0202335340658909,-0.0779993449975112,-0.0866223006965906,-0.0717127593380292,-0.0902818534221742,-0.0888824389637006,-0.047201011753689,-0.0997330121951942,-0.0447690936176964,-0.00164632350359092,-0.0271570706088256,-0.109819263234431,-0.0625248767736418,-0.0881520908532826,-0.0745610115402159,-0.124631627631877,-0.0983760707457378,-0.121512174036102,-0.0948340670548206,-0.0935828846658725,-0.105303696407648,-0.0993919769369465,-0.102517090064141,-0.100648639099828,-0.0466814184319692,-0.10108499839963,-0.0515477239663661,-0.0762915029938853,-0.0716374747426264,-0.0498922312487227,-0.0776805986831998,-0.108829927105496,-0.0759844012278567,-0.109020151232088,-0.098154183251481,-0.0691886941998391,-0.0895405219738382,-0.0654393483587952,-0.10240882176164,-0.0803291918043402,-0.110573951907592,-0.0602739895151587,-0.0578289717010185,-0.06901599811963,-0.0583703116626528,-0.0638744717945989,-0.069149576446538,-0.0812450051197553,-0.0312149293286556,-0.036630244185943,-0.0590762305947898,-0.0803661524025877,-0.0438199787788361,-0.0613280730095351,-0.0894149356752606,-0.0903091939195983,-0.0457846730539474,-0.114900445187432,-0.0928585561007644,-0.0415915195165194,-0.0976934720189045,-0.087014250274092,-0.112601270474355,-0.107330073738026,-0.0909262274601966,-0.0808412603142351,-0.0885859448520237,-0.0772160377956386,-0.0888728579509378,-0.132472034284365,-0.120323764175542,-0.00689023615530787,-0.102374050316996,-0.0802802233225349,-0.0621800041202296,-0.0535417864774341,-0.129493393968435,-0.0723668086467684,-0.0942683213155106,-0.0653513881360416,-0.0594664420315336,-0.0764372578799362,-0.124872865326458,-0.0600317097008765,-0.0721602260093048,-0.0786326090462059,-0.0546373383544997,-0.109717285986686,-0.0986666609739884,-0.0636744970576431,-0.0430735148181952,-0.0386180193609148,-0.091440645364863,-0.0711535856332399,-0.117021054311693,-0.136992520727943,-0.0553461269047208,-0.107576707810264,-0.0657254988567807,-0.102403057529371,-0.096112138014461,-0.126384493052938,-0.0793317830113038,-0.112787986757864,-0.0478740392993669,-0.0985938185727888,-0.0989138329111294,-0.035142677672105,-0.07178324389141,-0.0910969028709707
"ARID3A_TF",0.0515352109517212,0.0375937428984895,-0.000325260980504995,0.0784274103609383,0.0667767315533297,0.041494870258576,0.0300114536080533,0.00424660430674939,0.091415321056524,0.0724789168766532,-0.0165147433748154,6.192412647672e-05,0.0454422820722777,0.0883479541985699,0.0637189665666391,0.0690565431511669,0.0434434504967611,0.0339031786303486,0.00103451931315945,0.00537772705373143,-0.00147630318571562,-0.0229951217481341,-0.00359411802267622,-0.0232648218968447,0.0339921682006848,-0.0102064707902652,0.0858945037787248,0.0618572576656197,0.0709965571740138,0.0880029551798323,0.0444266434378396,0.0936681079315864,0.0593870479292751,-0.00224571452833157,0.0839377234803027,0.0156693300841814,-0.0319795433737903,-0.0178776367763751,0.00454738067784945,0.00429056232485167,0.0611681150633087,0.0410043183031227,-0.00511995940257198,0.0541283792329997,0.0334409993342861,0.0492644513283745,0.0631228899753846,0.0760226399371901,0.0395062609098575,-0.0188435223087727,0.0234397389125622,0.0577933838175269,0.0468705713599162,0.0539934139600308,0.00287117467659478,0.00367926864655994,0.0412033749508193,0.031378220135447,-0.00749556298397309,0.0672275680942366,0.076401852133583,0.0650180173795967,0.0838478777095779,0.00300058984047081,-0.0242118632920072,0.04797260545925,0.0645151398499812,0.0683817642798609,0.0466553945655258,0.0220236100184246,0.0646913200534452,0.0124593339429632,0.0272467366119648,-0.0213388507669701,0.0908844561563248,0.0498355776340418,-0.0214459024441458,0.0474871670946681,0.0620792387391843,-0.0368296179258044,0.0908550724641946,-0.0238262312279137,0.0720038052560836,0.0276261648049075,0.0746317417212878,0.0123910490221864,0.0688126379780367,0.0645951708881686,0.0623840004213708,0.0584263686362321,0.0185566197301831,0.0188942687732493,0.0636561123799701,0.0907253177207471,0.0890704923767805,0.0744947622286399,-0.00577695723741639,0.0496257406903693,0.0391585786199306,0.0147190841084683,0.0162049104984856,0.0314142954427266,0.062079675567847,0.0428194040355893,0.037867245583495,0.0738097620649867,0.0514829362954976,0.0334715088304664,0.0711794068121441,-0.0234442820358876,0.0368335512410356,0.00496680425394394,0.0723173621528844
"ARID5A_TF",0.263700311292367,0.285918795372679,0.364818656555993,0.183967016091775,0.248858142010379,0.231226511201796,0.270351026393426,0.309774282585716,0.24262650672636,0.261443446341134,0.218401311172555,0.17221959637826,0.1599166142809,0.191542597819211,0.245995177575138,0.178841696641092,0.286722936267784,0.293493406358198,0.350401334869385,0.324458612405024,0.339418155314717,0.26967544479222,0.31835106812481,0.294513934627327,0.363022760161812,0.256799605019168,0.293102363127207,0.233439892042694,0.383422873018903,0.248073403469247,0.255269540006953,0.240460794769716,0.17375018938861,0.348385049192605,0.300174004566566,0.26571929681964,0.262259488546807,0.210602907760251,0.220049787507969,0.280494496031384,0.194387377469858,0.332257105831567,0.20577217767347,0.284762225302012,0.228910264969759,0.192749616178213,0.256017691260122,0.191129245955994,0.274431698175874,0.264781794289548,0.344536193527373,0.162433878116592,0.22759818643324,0.214423855781215,0.29408561077239,0.281719235544099,0.255598623056051,0.326108430366112,0.318089944676773,0.238078463536285,0.348753877932423,0.346552392861922,0.269892384055741,0.342726893252587,0.321749047085849,0.353820285824363,0.334859561021004,0.313407661595045,0.246586565030859,0.340175574489028,0.231657336141739,0.185077705603359,0.359162878004403,0.278097139050419,0.2244724491429,0.290901705032954,0.214846796141621,0.289900515670395,0.168834387291359,0.2918535802403,0.272739505542881,0.333827344764303,0.22959427407904,0.273772799390307,0.305652614276504,0.36357988836593,0.277497804382447,0.240517684971741,0.242728840876405,0.260475080804824,0.342328261445301,0.312025892303626,0.266773865147611,0.249163054798543,0.168309344858566,0.212655245168657,0.199134724156564,0.280182126696394,0.309144312851512,0.311893244024251,0.292006148548984,0.181635305320057,0.23543015158069,0.297805854064747,0.285926870052269,0.193798985183143,0.260975096497465,0.291344101210016,0.228193463554929,0.186432325009093,0.145105103203991,0.208183026772184,0.155319265345303
