Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
merged_KEGG_2021_Human.gmt	ABC transporters	1/89	7.885580e-01	8.979906e-01	9.611288e-01	2.283155e-01	ABCA3
merged_KEGG_2021_Human.gmt	AGE-RAGE signaling pathway in diabetic complications	7/199	5.691227e-02	3.213762e-01	2.255717e+00	6.465435e+00	CYBB;MIF-AS1;STAT1;PLCD3;PIK3R3;SMAD3;PRKCA
merged_KEGG_2021_Human.gmt	AMPK signaling pathway	7/239	1.197252e-01	4.036594e-01	1.861136e+00	3.950366e+00	PFKP;MAPK4;CREB3;MIF-AS1;INSR;CRYZL2P-SEC16B;PIK3R3
merged_KEGG_2021_Human.gmt	Acute myeloid leukemia	5/133	8.011805e-02	3.442807e-01	2.467013e+00	6.227369e+00	IKBKB;TCF7;SOS1;PIK3R3;PPARD
merged_KEGG_2021_Human.gmt	Adherens junction	6/141	3.526548e-02	2.716775e-01	2.777118e+00	9.289046e+00	MAPK4;FGFR1;INSR;TCF7;PTPN6;SMAD3
merged_KEGG_2021_Human.gmt	Adipocytokine signaling pathway	2/137	6.876330e-01	8.376629e-01	1.047127e+00	3.921492e-01	IKBKB;RXRA
merged_KEGG_2021_Human.gmt	Adrenergic signaling in cardiomyocytes	6/299	4.118593e-01	7.047774e-01	1.264571e+00	1.121768e+00	MAPK4;CREB3;KRTAP5-AS1;ADCY9;PRDM16-DT;PRKCA
merged_KEGG_2021_Human.gmt	African trypanosomiasis	2/73	3.595550e-01	6.514017e-01	1.995412e+00	2.041083e+00	PRKCA;NPPA
merged_KEGG_2021_Human.gmt	Alanine, aspartate and glutamate metabolism	1/73	7.201773e-01	8.550191e-01	1.174859e+00	3.856566e-01	GAD2
merged_KEGG_2021_Human.gmt	Alcoholism	5/341	7.046071e-01	8.437141e-01	9.251277e-01	3.239011e-01	MAPK4;CREB3;GNB4;SOS1;HDAC6
merged_KEGG_2021_Human.gmt	Aldosterone synthesis and secretion	7/195	5.210460e-02	3.081442e-01	2.304385e+00	6.808310e+00	MAPK4;CREB3;KRTAP5-AS1;ADCY9;NPPA;KCNK9;PRKCA
merged_KEGG_2021_Human.gmt	Aldosterone-regulated sodium reabsorption	3/73	1.314994e-01	4.217050e-01	2.847439e+00	5.776750e+00	MAPK4;PRKCA;PIK3R3
merged_KEGG_2021_Human.gmt	Alzheimer disease	13/736	5.056372e-01	7.435010e-01	1.062514e+00	7.245661e-01	CYBB;IKBKB;MIF-AS1;MIR4458HG;LRP5;INSR;PPM1L-DT;PIK3R3;WNT5A;FGF14-AS2;LPL;FZD2;ZFP28-DT
merged_KEGG_2021_Human.gmt	Amoebiasis	5/203	2.729262e-01	5.768667e-01	1.587360e+00	2.061273e+00	MAPK4;MIF-AS1;PIK3R3;PRKCA;TLR2
merged_KEGG_2021_Human.gmt	Amphetamine addiction	3/137	4.217580e-01	7.047774e-01	1.484299e+00	1.281431e+00	MAPK4;CREB3;PRKCA
merged_KEGG_2021_Human.gmt	Amyotrophic lateral sclerosis	7/725	9.703535e-01	9.912213e-01	5.766895e-01	1.735535e-02	LINC01033;MIR4458HG;SOD1;PPM1L-DT;FGF14-AS2;HDAC6;ZFP28-DT
merged_KEGG_2021_Human.gmt	Apelin signaling pathway	6/273	3.317373e-01	6.211725e-01	1.390650e+00	1.534459e+00	MAPK4;GNB4;MEF2C;ADCY9;MYLK;SMAD3
merged_KEGG_2021_Human.gmt	Apoptosis	5/281	5.350789e-01	7.618851e-01	1.131831e+00	7.077807e-01	IKBKB;MIF-AS1;LINC01058;PIK3R3;DAB2IP
merged_KEGG_2021_Human.gmt	Arachidonic acid metabolism	3/121	3.469823e-01	6.411130e-01	1.687045e+00	1.785706e+00	HSD17B3-AS1;PLA2G2D;TBXAS1
merged_KEGG_2021_Human.gmt	Arginine and proline metabolism	3/99	2.436047e-01	5.512848e-01	2.075596e+00	2.931175e+00	CRYZL2P-SEC16B;ALDH1B1;SAT2
merged_KEGG_2021_Human.gmt	Arrhythmogenic right ventricular cardiomyopathy	3/153	4.934963e-01	7.435010e-01	1.324663e+00	9.355298e-01	MAPK4;TCF7;ITGB5
merged_KEGG_2021_Human.gmt	Ascorbate and aldarate metabolism	3/59	8.144276e-02	3.442807e-01	3.557282e+00	8.921146e+00	UGT2B15;UGT2B17;ALDH1B1
merged_KEGG_2021_Human.gmt	Autophagy	3/273	8.538875e-01	9.306039e-01	7.293444e-01	1.152042e-01	MAPK4;MIF-AS1;PIK3R3
merged_KEGG_2021_Human.gmt	Axon guidance	11/363	4.992002e-02	3.081442e-01	1.900837e+00	5.697441e+00	MAPK4;NFATC4;SHH;MIR9-3HG;PDE6B-AS1;KRTAP5-AS1;PIK3R3;PRDM16-DT;WNT5A;NFATC2;PRKCA
merged_KEGG_2021_Human.gmt	B cell receptor signaling pathway	7/161	2.151111e-02	2.143429e-01	2.819814e+00	1.082579e+01	IKBKB;SOS1;PTPN6;PIK3R3;VAV1;CD19;NFATC2
merged_KEGG_2021_Human.gmt	Bacterial invasion of epithelial cells	4/153	2.710791e-01	5.768667e-01	1.723188e+00	2.249354e+00	MAPK4;GAB1;CAV1;PIK3R3
merged_KEGG_2021_Human.gmt	Basal cell carcinoma	5/125	6.506937e-02	3.286726e-01	2.632620e+00	7.193110e+00	SHH;MIF-AS1;TCF7;WNT5A;FZD2
merged_KEGG_2021_Human.gmt	Basal transcription factors	1/89	7.885580e-01	8.979906e-01	9.611288e-01	2.283155e-01	GTF2IRD1
merged_KEGG_2021_Human.gmt	Base excision repair	2/65	3.090545e-01	5.996189e-01	2.248351e+00	2.640098e+00	MPG;MIF-AS1
merged_KEGG_2021_Human.gmt	Bile secretion	6/179	8.955457e-02	3.613056e-01	2.161737e+00	5.216071e+00	UGT2B15;CRYZL2P-SEC16B;ADCY9;UGT2B17;RXRA;LINC02532
merged_KEGG_2021_Human.gmt	Biosynthesis of unsaturated fatty acids	2/53	2.322247e-01	5.444596e-01	2.775101e+00	4.051785e+00	CRYZL2P-SEC16B;MAPK4
merged_KEGG_2021_Human.gmt	Bladder cancer	1/81	7.567472e-01	8.724482e-01	1.057374e+00	2.947176e-01	E2F3
merged_KEGG_2021_Human.gmt	Breast cancer	10/293	3.066621e-02	2.673710e-01	2.159989e+00	7.526683e+00	FGFR1;MIF-AS1;LRP5;TCF7;SOS1;NOTCH2;PIK3R3;WNT5A;FZD2;E2F3
merged_KEGG_2021_Human.gmt	Butanoate metabolism	2/55	2.450155e-01	5.512848e-01	2.670899e+00	3.756443e+00	GAD2;HADH
merged_KEGG_2021_Human.gmt	C-type lectin receptor signaling pathway	8/206	2.640512e-02	2.455676e-01	2.490457e+00	9.050812e+00	IKBKB;NFATC4;KCNJ2-AS1;STAT1;PIK3R3;EGR3;STAT2;NFATC2
merged_KEGG_2021_Human.gmt	Calcium signaling pathway	9/479	4.445979e-01	7.047887e-01	1.152342e+00	9.340710e-01	MAPK4;FGFR1;PDGFA;ADCY9;PLCD3;MYLK;PTK2B;HSD17B3-AS1;PRKCA
merged_KEGG_2021_Human.gmt	Carbohydrate digestion and absorption	4/93	7.686080e-02	3.442807e-01	2.893370e+00	7.423690e+00	SLC37A4;MAPK4;SLC2A5;PIK3R3
merged_KEGG_2021_Human.gmt	Cardiac muscle contraction	2/173	8.030749e-01	8.998309e-01	8.247434e-01	1.808723e-01	ZFP28-DT;MIR4458HG
merged_KEGG_2021_Human.gmt	Cell adhesion molecules	4/295	7.529191e-01	8.716367e-01	8.728831e-01	2.477220e-01	HSD17B3-AS1;SPN;SDC3;PVR
merged_KEGG_2021_Human.gmt	Cell cycle	4/247	6.198129e-01	8.035466e-01	1.049353e+00	5.019449e-01	CHEK2;SMAD3;E2F3;MIF-AS1
merged_KEGG_2021_Human.gmt	Cellular senescence	8/311	1.695467e-01	4.826891e-01	1.613960e+00	2.864176e+00	NFATC4;MIF-AS1;MYBL2;PIK3R3;SMAD3;NFATC2;E2F3;CHEK2
merged_KEGG_2021_Human.gmt	Central carbon metabolism in cancer	3/139	4.309307e-01	7.047774e-01	1.462298e+00	1.230974e+00	PFKP;FGFR1;PIK3R3
merged_KEGG_2021_Human.gmt	Chagas disease	3/203	6.839973e-01	8.376629e-01	9.900126e-01	3.760081e-01	IKBKB;PIK3R3;TLR2
merged_KEGG_2021_Human.gmt	Chemical carcinogenesis	11/477	2.015222e-01	4.995872e-01	1.421875e+00	2.277639e+00	UGT2B15;CREB3;VDR;ADCY9;UGT2B17;SOS1;NOTCH2;PIK3R3;RXRA;HSD17B3-AS1;PRKCA
merged_KEGG_2021_Human.gmt	Chemokine signaling pathway	12/383	3.362307e-02	2.716775e-01	1.967285e+00	6.674097e+00	IKBKB;GNB4;KCNJ2-AS1;STAT1;CCR6;ADCY9;SOS1;GRK3;VAV1;PIK3R3;PTK2B;STAT2
merged_KEGG_2021_Human.gmt	Cholesterol metabolism	3/99	2.436047e-01	5.512848e-01	2.075596e+00	2.931175e+00	CRYZL2P-SEC16B;LPL;LINC02532
merged_KEGG_2021_Human.gmt	Choline metabolism in cancer	8/195	1.977911e-02	2.043842e-01	2.639089e+00	1.035348e+01	MAPK4;PLD1;PDGFA;SOS1;PIK3R3;DGKA;LYPLA1;PRKCA
merged_KEGG_2021_Human.gmt	Cholinergic synapse	8/225	4.123748e-02	2.739347e-01	2.269140e+00	7.234944e+00	MAPK4;CREB3;KRTAP5-AS1;KCNJ2;GNB4;ADCY9;PIK3R3;PRKCA
merged_KEGG_2021_Human.gmt	Chronic myeloid leukemia	5/151	1.200850e-01	4.036594e-01	2.160529e+00	4.579360e+00	IKBKB;SOS1;PIK3R3;SMAD3;E2F3
merged_KEGG_2021_Human.gmt	Circadian entrainment	4/193	4.269987e-01	7.047774e-01	1.354741e+00	1.152850e+00	ADCY9;GNB4;PRKCA;MAPK4
merged_KEGG_2021_Human.gmt	Circadian rhythm	2/61	2.834833e-01	5.833448e-01	2.400326e+00	3.025856e+00	BHLHE41;CRY1
merged_KEGG_2021_Human.gmt	Cocaine addiction	2/97	5.008712e-01	7.435010e-01	1.490860e+00	1.030790e+00	MAPK4;CREB3
merged_KEGG_2021_Human.gmt	Collecting duct acid secretion	1/53	6.030243e-01	8.011609e-01	1.625218e+00	8.220318e-01	CCR5AS
merged_KEGG_2021_Human.gmt	Colorectal cancer	5/171	1.733547e-01	4.836596e-01	1.897711e+00	3.325578e+00	MIF-AS1;TCF7;SOS1;PIK3R3;SMAD3
merged_KEGG_2021_Human.gmt	Complement and coagulation cascades	4/168	3.292547e-01	6.206895e-01	1.564022e+00	1.737509e+00	CRYZL2P-SEC16B;LINC02362;LINC02532;CR1
merged_KEGG_2021_Human.gmt	Coronavirus disease	8/462	5.461542e-01	7.618851e-01	1.063450e+00	6.432319e-01	IKBKB;CYBB;MIF-AS1;STAT1;PIK3R3;STAT2;PRKCA;TLR2
merged_KEGG_2021_Human.gmt	Cortisol synthesis and secretion	3/129	3.846228e-01	6.923211e-01	1.579261e+00	1.508972e+00	ADCY9;CREB3;MAPK4
merged_KEGG_2021_Human.gmt	Cushing syndrome	8/309	1.654522e-01	4.826891e-01	1.624951e+00	2.923405e+00	MAPK4;CREB3;MIF-AS1;ADCY9;TCF7;WNT5A;FZD2;E2F3
merged_KEGG_2021_Human.gmt	Cysteine and methionine metabolism	2/98	5.063268e-01	7.435010e-01	1.475284e+00	1.004038e+00	CRYZL2P-SEC16B;BCAT1
merged_KEGG_2021_Human.gmt	Cytokine-cytokine receptor interaction	5/589	9.770102e-01	9.912213e-01	5.209624e-01	1.211661e-02	IL15;CCR6;LTBR;IL17RB;TNFRSF10D
merged_KEGG_2021_Human.gmt	Cytosolic DNA-sensing pathway	1/125	8.875977e-01	9.524606e-01	6.810911e-01	8.121106e-02	IKBKB
merged_KEGG_2021_Human.gmt	D-Glutamine and D-glutamate metabolism	1/9	1.449473e-01	4.443987e-01	1.007608e+01	1.946080e+01	ZNF667-AS1
merged_KEGG_2021_Human.gmt	Diabetic cardiomyopathy	9/405	2.652045e-01	5.691697e-01	1.376430e+00	1.826872e+00	CYBB;MIR4458HG;INSR;PPM1L-DT;PIK3R3;SMAD3;FGF14-AS2;ZFP28-DT;PRKCA
merged_KEGG_2021_Human.gmt	Dilated cardiomyopathy	3/191	6.436050e-01	8.162081e-01	1.054138e+00	4.645270e-01	ADCY9;ITGB5;MAPK4
merged_KEGG_2021_Human.gmt	Dopaminergic synapse	6/263	3.013905e-01	5.995109e-01	1.445921e+00	1.734163e+00	MAPK4;CREB3;KRTAP5-AS1;GNB4;DRD4;PRKCA
merged_KEGG_2021_Human.gmt	Drug metabolism	6/215	1.675979e-01	4.826891e-01	1.784671e+00	3.187756e+00	UGT2B15;DPYD;CRYZL2P-SEC16B;UGT2B17;RRM2;LINC02532
merged_KEGG_2021_Human.gmt	ECM-receptor interaction	1/175	9.534164e-01	9.912213e-01	4.838344e-01	2.308063e-02	ITGB5
merged_KEGG_2021_Human.gmt	Endocrine and other factor-regulated calcium reabsorption	6/105	9.576030e-03	1.500957e-01	3.793693e+00	1.763495e+01	KLK1;MAPK4;VDR;ADCY9;PRKCA;KLK2
