Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
merged_Reactome_2022.gmt	ABC Transporter Disorders R-HSA-5619084	1/152	9.121959e-01	9.915764e-01	6.122634e-01	5.626732e-02	ABCA3
merged_Reactome_2022.gmt	ABC Transporters In Lipid Homeostasis R-HSA-1369062	1/35	4.278815e-01	7.420747e-01	2.705563e+00	2.296777e+00	ABCA3
merged_Reactome_2022.gmt	ABC-family Proteins Mediated Transport R-HSA-382556	1/202	9.607254e-01	9.990393e-01	4.590984e-01	1.839455e-02	ABCA3
merged_Reactome_2022.gmt	ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821	4/261	5.941772e-01	8.114193e-01	1.085346e+00	5.650066e-01	ADCY9;LHB;GNB4;PRKCA
merged_Reactome_2022.gmt	ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592	1/49	5.425388e-01	7.853687e-01	1.923135e+00	1.175989e+00	GNB4
merged_Reactome_2022.gmt	ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170	1/43	4.965099e-01	7.662456e-01	2.195341e+00	1.537072e+00	GNB4
merged_Reactome_2022.gmt	APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409	1/51	5.569299e-01	7.923561e-01	1.846774e+00	1.080946e+00	MIF-AS1
merged_Reactome_2022.gmt	APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048	1/47	5.276818e-01	7.849632e-01	2.006065e+00	1.282401e+00	MIF-AS1
merged_Reactome_2022.gmt	AURKA Activation By TPX2 R-HSA-8854518	2/143	6.636233e-01	8.518741e-01	1.096793e+00	4.497294e-01	MIR9-3HG;PRKCA
merged_Reactome_2022.gmt	Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139	2/71	3.097280e-01	7.082316e-01	2.241686e+00	2.627392e+00	E2F3;MIF-AS1
merged_Reactome_2022.gmt	Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136	1/39	4.632879e-01	7.527451e-01	2.423947e+00	1.865001e+00	MIF-AS1
merged_Reactome_2022.gmt	Aberrant Regulation Of Mitotic G1/S Transition In Cancer Due To RB1 Defects R-HSA-9659787	1/33	4.093149e-01	7.396512e-01	2.872367e+00	2.565801e+00	E2F3
merged_Reactome_2022.gmt	Acetylcholine Neurotransmitter Release Cycle R-HSA-264642	1/33	4.093149e-01	7.396512e-01	2.872367e+00	2.565801e+00	MAPK4
merged_Reactome_2022.gmt	Acetylcholine Regulates Insulin Secretion R-HSA-399997	1/19	2.614067e-01	6.816829e-01	5.049827e+00	6.775241e+00	PRKCA
merged_Reactome_2022.gmt	Activated NTRK2 Signals Thru FRS2 And FRS3 R-HSA-9028731	1/17	2.374582e-01	6.638849e-01	5.662532e+00	8.141384e+00	SOS1
merged_Reactome_2022.gmt	Activated NTRK2 Signals Thru FYN R-HSA-9032500	1/11	1.608690e-01	6.277387e-01	8.901117e+00	1.626381e+01	MAPK4
merged_Reactome_2022.gmt	Activated NTRK2 Signals Thru RAS R-HSA-9026519	1/13	1.872146e-01	6.301040e-01	7.476140e+00	1.252627e+01	SOS1
merged_Reactome_2022.gmt	Activated NTRK3 Signals Thru RAS R-HSA-9034864	1/13	1.872146e-01	6.301040e-01	7.476140e+00	1.252627e+01	SOS1
merged_Reactome_2022.gmt	Activated PKN1 Stimulates Transcription Of Androgen Receptor Regulated KLK2 And KLK3 R-HSA-5625886	1/64	6.400813e-01	8.399978e-01	1.467672e+00	6.548166e-01	KLK2
merged_Reactome_2022.gmt	Activated TAK1 Mediates P38 MAPK Activation R-HSA-450302	2/37	1.157929e-01	6.095749e-01	4.396647e+00	9.478960e+00	NOD2;NOD1
merged_Reactome_2022.gmt	Activation Of Arylsulfatases R-HSA-1663150	1/25	3.288469e-01	7.126118e-01	3.811912e+00	4.239468e+00	ARSD
merged_Reactome_2022.gmt	Activation Of BH3-only Proteins R-HSA-114452	2/59	2.393647e-01	6.638849e-01	2.711258e+00	3.876467e+00	TP63;MIF-AS1
merged_Reactome_2022.gmt	Activation Of Ca-permeable Kainate Receptor R-HSA-451308	1/17	2.374582e-01	6.638849e-01	5.662532e+00	8.141384e+00	MAPK4
merged_Reactome_2022.gmt	Activation Of G Protein Gated Potassium Channels R-HSA-1296041	3/57	6.136080e-02	5.031884e-01	4.018764e+00	1.121631e+01	MAPK4;GNB4;KCNJ2
merged_Reactome_2022.gmt	Activation Of GABAB Receptors R-HSA-991365	4/83	4.262279e-02	4.966929e-01	3.549294e+00	1.119932e+01	ADCY9;GNB4;KCNJ2;MAPK4
merged_Reactome_2022.gmt	Activation Of Gene Expression By SREBF (SREBP) R-HSA-2426168	2/83	3.787235e-01	7.366032e-01	1.910393e+00	1.854893e+00	MAPK4;RXRA
merged_Reactome_2022.gmt	Activation Of HOX Genes During Differentiation R-HSA-5619507	3/174	5.212017e-01	7.842457e-01	1.269101e+00	8.269689e-01	RXRA;HOXA1;MIF-AS1
merged_Reactome_2022.gmt	Activation Of Kainate Receptors Upon Glutamate Binding R-HSA-451326	2/57	2.276642e-01	6.638849e-01	2.809262e+00	4.157380e+00	MAPK4;GNB4
merged_Reactome_2022.gmt	Activation Of Matrix Metalloproteinases R-HSA-1592389	1/65	6.457922e-01	8.399978e-01	1.444840e+00	6.317960e-01	KLK2
merged_Reactome_2022.gmt	Activation Of NF-kappaB In B Cells R-HSA-1169091	2/130	6.120445e-01	8.249961e-01	1.208597e+00	5.933610e-01	IKBKB;MIR155HG
merged_Reactome_2022.gmt	Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755	3/147	4.114820e-01	7.398432e-01	1.508424e+00	1.339466e+00	MAPK4;KRTAP5-AS1;PRKCA
merged_Reactome_2022.gmt	Activation Of PUMA And Translocation To Mitochondria R-HSA-139915	1/17	2.374582e-01	6.638849e-01	5.662532e+00	8.141384e+00	TP63
merged_Reactome_2022.gmt	Activation Of RAC1 Downstream Of NMDARs R-HSA-9619229	1/13	1.872146e-01	6.301040e-01	7.476140e+00	1.252627e+01	MAPK4
merged_Reactome_2022.gmt	Activation Of RAC1 R-HSA-428540	1/23	3.070780e-01	7.070871e-01	4.151192e+00	4.901120e+00	SOS1
merged_Reactome_2022.gmt	Activation Of SMO R-HSA-5635838	1/35	4.278815e-01	7.420747e-01	2.705563e+00	2.296777e+00	SHH
merged_Reactome_2022.gmt	Acyl Chain Remodelling Of PC R-HSA-1482788	1/53	5.708698e-01	8.015995e-01	1.776230e+00	9.957441e-01	PLA2G2D
merged_Reactome_2022.gmt	Acyl Chain Remodelling Of PE R-HSA-1482839	2/57	2.276642e-01	6.638849e-01	2.809262e+00	4.157380e+00	HSD17B3-AS1;PLA2G2D
