Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
merged_WikiPathway_2021_Human.gmt	15q13.3 copy number variation syndrome WP4942	2/36	1.718978e-01	7.415357e-01	3.422768e+00	6.026997e+00	DLEU2;SERPINH1
merged_WikiPathway_2021_Human.gmt	16p11.2 distal deletion syndrome WP4950	3/61	1.335977e-01	7.333598e-01	2.832519e+00	5.701641e+00	INSR;NFATC2;CD19
merged_WikiPathway_2021_Human.gmt	16p11.2 proximal deletion syndrome WP4949	2/145	8.085864e-01	9.021397e-01	8.140009e-01	1.729489e-01	SPN;MIF-AS1
merged_WikiPathway_2021_Human.gmt	22q11.2 copy number variation syndrome WP4657	4/258	7.894793e-01	8.978453e-01	8.246875e-01	1.949410e-01	MAPK4;FOXC1;SHH;FGFR1
merged_WikiPathway_2021_Human.gmt	3q29 copy number variation syndrome WP4906	3/121	4.628552e-01	7.983498e-01	1.389993e+00	1.070768e+00	FBXW7;PIK3R3;ZNF76
merged_WikiPathway_2021_Human.gmt	7q11.23 copy number variation syndrome WP4932	2/206	9.312041e-01	9.540838e-01	5.677010e-01	4.046389e-02	HDAC6;GTF2IRD1
merged_WikiPathway_2021_Human.gmt	AGE/RAGE pathway WP2324	7/131	1.950016e-02	5.162668e-01	2.887666e+00	1.136970e+01	IKBKB;STAT1;INSR;SOD1;LGALS3;SMAD3;PRKCA
merged_WikiPathway_2021_Human.gmt	AMP-activated protein kinase (AMPK) signaling WP1403	3/136	5.409557e-01	7.983498e-01	1.231963e+00	7.569400e-01	INSR;MIF-AS1;PIK3R3
merged_WikiPathway_2021_Human.gmt	ATM Signaling Network in Development and Disease  WP3878	1/88	8.440565e-01	9.191494e-01	8.017183e-01	1.359200e-01	CHEK2
merged_WikiPathway_2021_Human.gmt	ATM Signaling Pathway WP2516	1/78	8.072353e-01	9.021397e-01	9.060681e-01	1.940255e-01	CHEK2
merged_WikiPathway_2021_Human.gmt	ATR Signaling WP3875	1/17	3.007402e-01	7.673035e-01	4.281627e+00	5.144412e+00	MIF-AS1
merged_WikiPathway_2021_Human.gmt	Acute viral myocarditis WP4298	4/171	4.780565e-01	7.983498e-01	1.264084e+00	9.329272e-01	CAV1;NOD2;SOS1;STAT1
merged_WikiPathway_2021_Human.gmt	Adipogenesis WP236	8/259	1.724915e-01	7.415357e-01	1.607200e+00	2.824505e+00	MIF-AS1;MEF2C;STAT1;SMAD3;RXRA;LPL;STAT2;PPARD
merged_WikiPathway_2021_Human.gmt	Airway smooth muscle cell contraction WP4962	1/33	5.009092e-01	7.983498e-01	2.170307e+00	1.500399e+00	MYLK
merged_WikiPathway_2021_Human.gmt	Alanine and aspartate metabolism WP106	1/22	3.706463e-01	7.827428e-01	3.284274e+00	3.259665e+00	GAD2
merged_WikiPathway_2021_Human.gmt	Allograft Rejection WP2328	2/175	8.830631e-01	9.275499e-01	6.712268e-01	8.347286e-02	HSD17B3-AS1;STAT1
merged_WikiPathway_2021_Human.gmt	Alpha 6 Beta 4 signaling pathway WP244	3/65	1.530031e-01	7.333598e-01	2.650184e+00	4.975181e+00	SOS1;GAB1;PRKCA
merged_WikiPathway_2021_Human.gmt	Alzheimer's disease WP2059	2/165	8.618404e-01	9.191494e-01	7.129966e-01	1.060121e-01	LPL;MAPK4
merged_WikiPathway_2021_Human.gmt	Amino Acid metabolism WP3925	5/175	3.000944e-01	7.673035e-01	1.524558e+00	1.835046e+00	PPM1L;CRYZL2P-SEC16B;HADH;LINC02532;BCAT1
merged_WikiPathway_2021_Human.gmt	Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678	1/33	5.009092e-01	7.983498e-01	2.170307e+00	1.500399e+00	TCF7
merged_WikiPathway_2021_Human.gmt	Amyotrophic lateral sclerosis (ALS) WP2447	1/74	7.901900e-01	8.978453e-01	9.557585e-01	2.250639e-01	SOD1
