id,x,y,text,name
1085,51.26,3.874042914233008,"Sample 1085 
              Patient: GSM3415787 
              Expression: 3.874042914233008
            ",NORMAL
1086,66.78,2.8019593295540144,"Sample 1086 
              Patient: GSM3415788 
              Expression: 2.8019593295540144
            ",NORMAL
1087,83.51,3.4604505298101955,"Sample 1087 
              Patient: GSM3415789 
              Expression: 3.4604505298101955
            ",NORMAL
1088,92.43,4.722255832906904,"Sample 1088 
              Patient: GSM3415882 
              Expression: 4.722255832906904
            ",NORMAL
1089,159.57,2.6594130924689576,"Sample 1089 
              Patient: GSM3415886 
              Expression: 2.6594130924689576
            ",NORMAL
1090,61.92,5.087554234050248,"Sample 1090 
              Patient: GSM3415895 
              Expression: 5.087554234050248
            ",NORMAL
1091,41.54,4.420556910368225,"Sample 1091 
              Patient: GTEX-VJYA-1226-SM-3GIJ6 
              Expression: 4.420556910368225
            ",NORMAL
1092,56.72,4.951794886410129,"Sample 1092 
              Patient: GTEX-WFG7-1826-SM-3GIL1 
              Expression: 4.951794886410129
            ",NORMAL
1093,70.29,3.066605050982946,"Sample 1093 
              Patient: GTEX-NFK9-2226-SM-3MJGP 
              Expression: 3.066605050982946
            ",NORMAL
1094,51.02,3.9793794866701178,"Sample 1094 
              Patient: GTEX-OIZH-2026-SM-3NB1M 
              Expression: 3.9793794866701178
            ",NORMAL
1095,23.18,5.517873336156251,"Sample 1095 
              Patient: GTEX-OOBJ-2026-SM-3NB1R 
              Expression: 5.517873336156251
            ",NORMAL
1096,22.56,4.494294995610393,"Sample 1096 
              Patient: GTEX-OOBK-2025-SM-3LK5S 
              Expression: 4.494294995610393
            ",NORMAL
1097,54.77,4.230726953442883,"Sample 1097 
              Patient: GTEX-PLZ6-1126-SM-3P5ZR-1 
              Expression: 4.230726953442883
            ",NORMAL
1098,54.7,4.230726953442883,"Sample 1098 
              Patient: GTEX-PLZ6-1126-SM-3P5ZR-2 
              Expression: 4.230726953442883
            ",NORMAL
1099,0,4.716990277790387,"Sample 1099 
              Patient: GTEX-NPJ8-2426-SM-3MJHL 
              Expression: 4.716990277790387
            ",NORMAL
1176,48.48,4.317152646893669,"Sample 1176 
              Patient: GTEX-RWSA-2026-SM-47JX8 
              Expression: 4.317152646893669
            ",NORMAL
1177,34.56,4.9841501985342775,"Sample 1177 
              Patient: GTEX-XGQ4-1826-SM-4AT6F 
              Expression: 4.9841501985342775
            ",NORMAL
1178,52.12,4.656827057059862,"Sample 1178 
              Patient: GTEX-XQ3S-2526-SM-4BOOG 
              Expression: 4.656827057059862
            ",NORMAL
1179,55,3.9686459926823496,"Sample 1179 
              Patient: GTEX-U3ZM-0926-SM-4DXSW 
              Expression: 3.9686459926823496
            ",NORMAL
1180,61.47,3.875483627405829,"Sample 1180 
              Patient: GTEX-REY6-2126-SM-48FD9 
              Expression: 3.875483627405829
            ",NORMAL
