id,x,y,text,name
11,186.33,0,"Sample 11 
              Patient: DTB-188-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
13,204.19,0,"Sample 13 
              Patient: DTB-194-PRO 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
16,165.64,0,"Sample 16 
              Patient: DTB-187-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
17,207.04,0,"Sample 17 
              Patient: DTB-135-PRO 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
18,176.36,0,"Sample 18 
              Patient: DTB-232-PRO 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
23,170.81,0,"Sample 23 
              Patient: DTB-092-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
25,195.62,0,"Sample 25 
              Patient: DTB-074-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
34,178.68,0,"Sample 34 
              Patient: DTB-175-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
42,183.13,0,"Sample 42 
              Patient: DTB-024-PRO 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
55,188.06,0,"Sample 55 
              Patient: DTB-037-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
60,170.81,0,"Sample 60 
              Patient: DTB-251-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
66,170.81,0,"Sample 66 
              Patient: DTB-035-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
78,170.85,0,"Sample 78 
              Patient: DTB-080-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
83,178.32,0,"Sample 83 
              Patient: DTB-071-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
92,177.71,0,"Sample 92 
              Patient: DTB-098-PRO2 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
95,176.46,0,"Sample 95 
              Patient: DTB-018-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
106,182.62,0,"Sample 106 
              Patient: DTB-067-PRO 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
107,184.08,0,"Sample 107 
              Patient: DTB-214-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
111,193.89,0,"Sample 111 
              Patient: DTB-137-PRO 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
122,182.1,0,"Sample 122 
              Patient: DTB-055-PRO 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
125,171.12,0,"Sample 125 
              Patient: DTB-170-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
126,172.08,0,"Sample 126 
              Patient: DTB-022-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
136,170.18,0,"Sample 136 
              Patient: DTB-143-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
146,173.29,0,"Sample 146 
              Patient: DTB-129-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
163,191.5,0,"Sample 163 
              Patient: DTB-059-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
173,171.59,0,"Sample 173 
              Patient: DTB-104-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
180,178.6,0,"Sample 180 
              Patient: DTB-266-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
182,178.78,0,"Sample 182 
              Patient: DTB-091-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
200,177.71,0,"Sample 200 
              Patient: DTB-112-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
209,181.16,0,"Sample 209 
              Patient: DTB-159-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
211,172.53,0,"Sample 211 
              Patient: DTB-077-PRO 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
213,172.53,0,"Sample 213 
              Patient: DTB-149-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
215,201.9,0,"Sample 215 
              Patient: DTB-097-PRO 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
218,179.07,0,"Sample 218 
              Patient: DTB-069-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
221,181.74,0,"Sample 221 
              Patient: DTB-085-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
224,174.26,0,"Sample 224 
              Patient: DTB-220-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
234,201.32,0,"Sample 234 
              Patient: DTB-036-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
238,175.9,0,"Sample 238 
              Patient: DTB-172-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
264,172.53,0,"Sample 264 
              Patient: DTB-119-PRO 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
268,177.41,0,"Sample 268 
              Patient: DTB-258-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
282,174.31,0,"Sample 282 
              Patient: DTB-173-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
284,173.02,0.11911154268656356,"Sample 284 
              Patient: DTB-020-BL 
              Expression: 0.11911154268656356
            ",WCDT-MCRPC (99 samples)
286,175.42,0,"Sample 286 
              Patient: DTB-176-BL 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
287,175.97,0,"Sample 287 
              Patient: DTB-090-PRO 
              Expression: 0
            ",WCDT-MCRPC (99 samples)
