id,x,y,text,name
1085,51.26,2.579856955532689,"Sample 1085 
              Patient: GSM3415787 
              Expression: 2.579856955532689
            ",NORMAL
1086,66.78,0.32322392881203754,"Sample 1086 
              Patient: GSM3415788 
              Expression: 0.32322392881203754
            ",NORMAL
1087,83.51,1.253268491449514,"Sample 1087 
              Patient: GSM3415789 
              Expression: 1.253268491449514
            ",NORMAL
1088,92.43,0.40672347842488454,"Sample 1088 
              Patient: GSM3415882 
              Expression: 0.40672347842488454
            ",NORMAL
1089,159.57,0.8863471539848096,"Sample 1089 
              Patient: GSM3415886 
              Expression: 0.8863471539848096
            ",NORMAL
1090,61.92,2.569496501748915,"Sample 1090 
              Patient: GSM3415895 
              Expression: 2.569496501748915
            ",NORMAL
1091,41.54,1.1160990248748146,"Sample 1091 
              Patient: GTEX-VJYA-1226-SM-3GIJ6 
              Expression: 1.1160990248748146
            ",NORMAL
1092,56.72,0.9857921005798518,"Sample 1092 
              Patient: GTEX-WFG7-1826-SM-3GIL1 
              Expression: 0.9857921005798518
            ",NORMAL
1093,70.29,1.1861883427005195,"Sample 1093 
              Patient: GTEX-NFK9-2226-SM-3MJGP 
              Expression: 1.1861883427005195
            ",NORMAL
1094,51.02,1.0030747982721888,"Sample 1094 
              Patient: GTEX-OIZH-2026-SM-3NB1M 
              Expression: 1.0030747982721888
            ",NORMAL
1095,23.18,2.899675632500278,"Sample 1095 
              Patient: GTEX-OOBJ-2026-SM-3NB1R 
              Expression: 2.899675632500278
            ",NORMAL
1096,22.56,2.575976732781379,"Sample 1096 
              Patient: GTEX-OOBK-2025-SM-3LK5S 
              Expression: 2.575976732781379
            ",NORMAL
1097,54.77,1.1909267896135196,"Sample 1097 
              Patient: GTEX-PLZ6-1126-SM-3P5ZR-1 
              Expression: 1.1909267896135196
            ",NORMAL
1098,54.7,1.206589681554476,"Sample 1098 
              Patient: GTEX-PLZ6-1126-SM-3P5ZR-2 
              Expression: 1.206589681554476
            ",NORMAL
1099,0,2.350166046199516,"Sample 1099 
              Patient: GTEX-NPJ8-2426-SM-3MJHL 
              Expression: 2.350166046199516
            ",NORMAL
1176,48.48,2.3399500670279108,"Sample 1176 
              Patient: GTEX-RWSA-2026-SM-47JX8 
              Expression: 2.3399500670279108
            ",NORMAL
