,x,y
A1BG-AS1,5.1464167,1.9827739
A2M-AS1,3.1869686,2.3051937
A2ML1-AS1,-4.4842453,4.6620584
A2ML1-AS2,-5.8184137,4.2143164
AADACL2-AS1,-4.1249247,5.3100247
AATBC,3.6621668,1.9700047
ABALON,1.9180144,2.9448342
ABCA9-AS1,-2.1758091,2.6536157
ABCC5-AS1,-3.1398246,3.0008986
ABHD15-AS1,-5.776981,4.4722724
ABR-AS1,-4.1055055,3.7385912
ACAD9-DT,3.7095907,1.8351389
ACAP2-IT1,2.3019404,2.6839337
ACBD3-AS1,0.11219636,3.1021826
ACOXL-AS1,0.80905616,3.2677267
ACSL3-AS1,-6.056347,3.8822303
ACSL6-AS1,-3.286394,3.089817
ACTA2-AS1,2.5897937,2.4150174
ACTN1-DT,-0.9234237,4.7070913
ACTR3-AS1,3.071642,2.4714024
ACVR2B-AS1,3.931304,2.450911
ADAM7-AS1,-0.1903344,2.5718498
ADAM7-AS2,-5.4775734,5.0908513
ADAMTS16-DT,2.6703207,2.2680495
ADAMTS19-AS1,-2.002094,4.2968845
ADAMTS9-AS1,0.36931717,3.1193693
ADAMTS9-AS2,2.82195,3.8758805
ADAMTSL4-AS1,0.8607191,1.8939213
ADAMTSL4-AS2,1.1683656,1.6837231
ADARB2-AS1,-3.6878016,2.9844258
ADCY6-DT,-0.8966319,4.7087636
ADD3-AS1,3.6585326,3.2466364
ADGB-DT,-5.328054,2.8900764
ADGRA1-AS1,-2.6093328,3.672028
ADGRB3-DT,-1.9864415,3.8728309
ADGRD1-AS1,-3.2345414,5.025177
ADGRF5-AS1,-5.101128,3.002108
ADGRL1-AS1,5.064358,2.115377
ADGRL3-AS1,-4.793732,2.8631172
ADIPOQ-AS1,-0.36592543,2.5828972
ADIRF-AS1,4.883797,1.7966673
ADM-DT,0.98680776,2.7080293
ADNP-AS1,4.1027923,2.0233767
ADORA2A-AS1,3.3631492,2.2385745
ADPGK-AS1,3.557699,2.41282
AFAP1-AS1,4.469466,2.010605
AFDN-DT,3.722542,2.3416703
AFF2-IT1,-4.2107024,4.1623006
AFF4-DT,-3.4180896,4.3911953
AFTPH-DT,2.307273,1.7412155
AGA-DT,3.135213,2.9643207
AGAP1-IT1,-0.017266309,4.067384
AGAP2-AS1,3.988755,1.5469558
AGBL1-AS1,1.9567804,4.881936
AGBL4-AS1,-5.8278027,4.0540376
AGBL4-IT1,-3.8630178,2.9775357
AGBL5-AS1,-4.1428585,4.795457
AGBL5-IT1,-0.5809044,3.6742716
AGK-DT,-2.5431645,4.2014318
AHI1-DT,4.2726083,3.3417544
AIRN,-0.68086666,2.2939174
AJUBA-DT,1.644391,2.4846087
AKAP1-DT,4.3733196,2.5922787
AKAP13-AS1,-1.0042933,2.3772984
AKT3-IT1,-1.5523793,2.5096903
ALDH1A2-AS1,-4.85765,5.3253818
ALDH1A3-AS1,4.267148,1.7402753
ALDH1L1-AS1,-4.533185,5.2722216
ALDH1L1-AS2,-3.2576551,5.5255027
ALG13-AS1,-0.68870205,2.5718596
ALG14-AS1,-2.3037453,3.3239703
ALG9-IT1,-2.1988063,2.6892457
ALKBH3-AS1,2.2585416,2.739214
ALMS1-IT1,3.4127252,2.4080307
ALOX12-AS1,5.5206323,2.4336953
AMMECR1-IT1,-1.9523389,2.5974379
ANK2-AS1,1.3882324,3.3544645
ANK3-DT,-3.371607,5.1034536
ANKH-DT,-1.7949141,4.5357237
ANKHD1-DT,3.8453734,1.5527536
ANKRD10-IT1,4.9968796,2.0375595
ANKRD17-DT,1.0315888,3.0269258
ANKRD33B-AS1,-1.6550945,3.1288314
ANKRD34C-AS1,3.3464942,3.276877
ANKRD42-DT,5.127757,2.360749
ANKRD44-AS1,-0.2609212,1.4637597
ANKRD44-DT,-1.7038817,1.7055933
ANKRD44-IT1,-0.06365529,1.9466772
ANKRD62P1-PARP4P3,-5.302986,3.448852
ANKRD65-AS1,-2.851012,4.3240485
ANO1-AS1,-5.6179605,4.483202
ANO3-AS1,-4.3007603,3.006043
ANXA2R-AS1,5.478291,2.6640248
ANXA2R-OT1,5.64246,2.5457685
AOAH-IT1,-0.797363,1.4627978
AOX3P-AOX2P,-5.1845803,4.210506
AP1AR-DT,3.2150846,1.7632974
AP1G2-AS1,5.3554416,2.0128124
AP4B1-AS1,3.7567313,2.2656434
APCDD1L-DT,3.5743763,2.647068
APOA1-AS,1.1996702,2.6609008
APOBEC3B-AS1,-1.1610153,2.5057735
APP-DT,4.2383804,2.8520494
APPBP2-DT,2.278875,2.0223649
APRG1,4.4932265,3.3162441
APTR,5.711085,2.426893
AQP4-AS1,3.1588356,3.5562465
AQP5-AS1,-3.7715573,5.3511863
ARAP1-AS1,1.7412153,1.8299006
ARAP1-AS2,3.273964,2.2351806
ARF4-AS1,2.7364087,1.8841345
ARFGEF1-DT,2.272019,2.0809493
ARHGAP11B-DT,2.1462564,2.1120715
ARHGAP15-AS1,-1.1329842,2.0060847
ARHGAP22-IT1,-4.883689,2.2046301
ARHGAP26-AS1,-1.6195111,2.2001994
ARHGAP26-IT1,-1.6224725,2.1250513
ARHGAP27P1-BPTFP1-KPNA2P3,5.4085402,1.9901818
ARHGAP28-AS1,-2.3744032,4.6995363
ARHGAP29-AS1,-0.034572363,3.78464
ARHGAP31-AS1,0.7918309,2.7093625
ARHGAP42-AS1,-1.2052104,4.5574183
ARHGAP44-AS1,0.71073616,4.4487443
ARHGAP5-AS1,4.020229,1.487902
ARHGEF17-AS1,1.2701066,2.693939
ARHGEF18-AS1,-1.3762505,3.7121377
ARHGEF19-AS1,-0.30911615,5.477271
ARHGEF2-AS1,-3.0528963,5.340063
ARHGEF2-AS2,3.3967042,2.085971
ARHGEF26-AS1,4.0469556,3.3689096
ARHGEF3-AS1,-2.3687656,2.8932335
ARHGEF35-AS1,5.685808,2.473671
ARHGEF38-IT1,-4.134434,4.4909744
ARHGEF4-AS1,-0.967299,4.780755
ARHGEF7-AS1,-3.1118994,3.807828
ARHGEF7-AS2,-2.7967343,3.9558039
ARHGEF7-IT1,-2.9236944,3.8372493
ARHGEF9-IT1,-2.2794473,2.8190355
ARIH2OS,4.0926013,1.7579861
ARL14EP-DT,-5.869132,5.4146996
ARLNC1,3.2447402,4.236928
ARMC2-AS1,-2.579533,4.1317844
ARMCX3-AS1,-2.0652256,4.7270784
ARMCX5-GPRASP2,5.116895,2.0402625
ARNILA,2.9046023,2.8718774
ARNT2-DT,3.6315086,2.5018573
ARNTL2-AS1,-3.3207147,3.5898347
ARPP21-AS1,-3.675952,2.6611326
ARRDC1-AS1,5.8487983,2.3121572
ARRDC3-AS1,4.653887,3.0382783
ARSD-AS1,-1.2510333,4.1552143
ASAH1-AS1,3.9515316,2.6074402
ASAP1-IT2,2.190192,3.682544
ASB15-AS1,-3.390305,3.650796
ASB16-AS1,5.8403826,2.4334886
ASH1L-AS1,4.4202456,1.7123059
ASH1L-IT1,-2.0368946,2.8038282
ASIC4-AS1,-4.3873587,4.162178
ASMTL-AS1,4.8271084,1.765401
ASTN2-AS1,-2.932315,2.550197
ASXL3-DT,0.09447698,4.174534
ATF6-DT,3.1384861,1.4814371
ATG10-AS1,-1.8576765,2.4482195
ATG10-IT1,-0.78524494,2.6306975
ATOX1-AS1,-0.32252637,3.7289364
ATP10A-DT,-5.435441,2.9942932
ATP11A-AS1,1.0253801,3.3540099
ATP11AUN,-5.71543,4.4289093
ATP11B-DT,0.07844217,3.052079
ATP13A3-DT,5.527471,2.8590062
ATP13A4-AS1,-3.484692,2.6482534
ATP13A5-AS1,-3.608794,3.537195
ATP1A1-AS1,5.6855655,2.6065946
ATP1B3-AS1,1.7217375,2.7890885
ATP2A1-AS1,3.9624834,1.5648491
ATP2B1-AS1,4.695031,2.2148802
ATP2B2-IT1,-4.584054,2.356944
ATP2B2-IT2,-3.7650197,2.93702
ATP2C2-AS1,2.9400384,1.7770404
ATP6AP1-DT,4.096071,1.5173576
ATP6V0D1-DT,4.849652,2.5501568
ATP6V0E2-AS1,3.9906003,1.660227
ATP6V1B1-AS1,-1.15866,4.738706
ATP8A1-DT,-4.732544,3.60011
ATP8B1-AS1,4.6033216,2.0606523
ATXN1-AS1,3.8951495,1.700821
ATXN2-AS,0.19536902,3.853078
ATXN7L3-AS1,2.7553892,1.6671187
ATXN8OS,2.3289149,3.3177009
AVPR1B-DT,-4.6230893,4.4231925
B3GALT1-AS1,-4.6121383,5.7716556
B3GALT5-AS1,3.4976032,2.916167
B3GAT1-DT,2.2368636,2.5607414
B4GALT1-AS1,3.6917071,2.884713
B4GALT4-AS1,-2.227985,2.5309064
B4GAT1-DT,4.3424287,2.3701036
BAALC-AS1,4.838357,2.2623465
BAALC-AS2,-3.6369443,3.6787207
BACE1-AS,5.506305,2.3290117
BACE2-IT1,-5.5234165,4.714888
BACH1-AS1,1.4355593,3.973042
BACH1-IT1,2.216895,2.6984584
BACH1-IT2,1.8201742,2.5976198
BACH1-IT3,-1.8789762,2.3896923
BAIAP2-DT,5.7366343,2.2196205
BALR6,-3.126546,3.9711199
BANCR,-3.5374336,3.6749973
BARX1-DT,-4.0725317,3.7086723
BASP1-AS1,5.107787,3.2115483
BAZ1A-AS1,4.5353055,1.7517077
BAZ2B-AS1,4.5656495,1.9031992
BBOX1-AS1,2.6631348,1.965492
BBS7-DT,4.5954666,3.5689847
BCAN-AS1,3.0412824,1.643479
BCAR3-AS1,2.7573729,2.3201306
BCAR4,-6.1074076,5.8900433
BCDIN3D-AS1,5.0383434,2.6166284
BCL10-AS1,5.141704,3.4406052
BCL2L1-AS1,-0.62383884,2.4845684
BCRP3,0.35247537,2.9386394
BDNF-AS,4.811769,2.3463166
BEAN1-AS1,0.3853421,2.2751124
BEND7-DT,-4.351707,3.532854
BET1-AS1,0.7573424,2.6020963
BFSP2-AS1,-0.6987473,3.0140128
BGLT3,-4.792186,5.5544596
BHLHE22-AS1,-5.362538,4.95036
BHLHE40-AS1,4.2647886,2.992162
BICD1-AS1,-1.1617806,3.0996926
BICRA-AS1,-1.0103629,2.5446692
BIRC6-AS1,-0.8282734,2.5608876
BISPR,4.776945,2.191453
BLACE,-0.59855783,2.7151494
BMF-AS1,-5.199029,4.8817415
BMP2K-DT,1.9209149,4.06072
BMP7-AS1,-3.5775347,3.3958187
BMP8B-AS1,1.439406,3.5979846
BMPR1B-DT,-5.4358277,5.546094
BMS1P14,-0.9562583,2.9019623
BMS1P4-AGAP5,3.7079046,2.0116062
BNC2-AS1,-2.3862376,4.817006
BOK-AS1,-1.743678,4.917862
BOLA3-DT,5.073355,2.11362
BPESC1,2.5784116,4.742096
BRINP3-DT,-2.6160316,3.9014904
BRPF3-AS1,3.732341,2.4970922
BRWD1-AS1,-1.6084242,4.187761
BRWD1-AS2,2.5371623,1.892852
BRWD1-IT1,-2.4569995,2.6343627
BSG-AS1,4.0899296,1.6294888
BSN-AS1,-0.97772604,3.2092986
BSN-DT,2.0079696,3.8191288
BTBD3-AS1,1.7330133,2.9420125
BTBD9-AS1,-1.5704789,2.4573584
BTF3-DT,2.688781,1.6490811
BTG1-DT,4.612849,2.1664953
BTG2-DT,1.9748728,3.3574839
BTG3-AS1,3.7337935,1.767521
BUD13-DT,-5.459321,4.6899376
BVES-AS1,2.8063421,2.0871897
BZW1-AS1,-0.5593489,4.5772433
C10orf55,3.3634646,1.7096982
C10orf67-AS1,-3.795942,4.008584
C10orf71-AS1,-3.367901,3.7651117
C10orf95-AS1,6.003243,2.7303288
C11orf40,-6.1465483,5.923699
C12orf75-AS1,1.1787829,2.8865297
C14orf178,-3.2519903,1.5535265
C15orf32,-4.6624813,2.8496325
C16orf95-DT,1.9689904,1.8996665
C1QTNF1-AS1,-0.3960332,4.051095
C1QTNF7-AS1,-0.8564666,2.5175595
C1QTNF9-AS1,-5.44699,4.6487727
C1RL-AS1,5.0662727,2.0271459
C1orf147,1.4316586,1.7702587
C1orf167-AS1,1.3202213,4.427519
C1orf21-DT,-0.18051028,4.0028796
C1orf220,3.858578,2.3099782
C1orf50-AS1,-3.5051532,2.2847254
C2-AS1,-0.09428724,2.9839056
C21orf62-AS1,5.290084,3.1200294
C21orf91-OT1,-2.6034315,2.4912012
C2CD4D-AS1,1.7964137,1.8811936
C2CD5-AS1,0.15687029,2.9294345
C2orf27A,5.2308383,2.0356622
C2orf49-DT,4.895739,1.8865323
C2orf74-DT,5.7534566,2.6410873
C3orf36,-3.722498,1.9582477
C4A-AS1,1.8041383,1.9903555
C4B,4.6985846,1.8192611
C4B-AS1,-3.6870475,6.0292244
C5orf34-AS1,2.4511886,2.2656112
C5orf38,0.5045728,3.5830653
C5orf60,1.1358075,4.3177366
C5orf64,4.3117895,3.4005456
C5orf64-AS1,-6.187429,3.9163547
C5orf67,-1.2224228,1.3382733
C6orf223,3.607708,1.8738731
C6orf47-AS1,-2.6979654,4.9844646
C7orf77,-4.296497,2.4984918
C8orf34-AS1,3.6046875,3.4504197
C8orf44,4.9763274,2.2179906
C8orf86,0.6639867,4.4941816
C9orf163,2.9267669,1.662649
C9orf92,-5.6595535,5.145735
CA3-AS1,2.0369492,2.3846347
CABIN1,6.131898,2.4730668
CABP1-DT,1.3372161,3.12218
CABP7-DT,-4.2368526,4.68518
CACNA1C-AS1,-0.18267317,1.7505751
CACNA1C-AS2,-0.22037168,1.7178032
CACNA1C-AS3,-6.366859,4.3856187
CACNA1C-AS4,-3.0933175,2.7865212
CACNA1C-IT1,-6.08738,4.6807094
CACNA1C-IT3,-3.0842464,2.8056922
CACNA1G-AS1,-1.9700415,4.200613
CACNA2D1-AS1,4.231931,3.369316
CACNA2D3-AS1,-3.225065,2.7343633
CACNG2-DT,-2.8143828,3.7408717
CACTIN-AS1,3.1504471,1.7257535
CADM1-AS1,-3.158287,2.6206636
CADM2-AS1,0.8216105,3.1858127
CADM2-AS2,-2.4356859,2.6366768
CADM3-AS1,-2.1656344,3.9437406
CAHM,2.7691953,1.7693833
CALCRL-AS1,2.9952505,2.1846159
CALHM6-AS1,-2.371046,6.1917205
CALML3-AS1,2.657101,2.9782665
CAMK2G-AS1,-1.6771903,1.7272236
CAMSAP1-DT,3.857286,1.7251345
CAMTA1-AS1,-5.4042706,4.256227
CAMTA1-AS2,-4.654148,2.3129811
CAMTA1-DT,1.472615,2.3584273
CAMTA1-IT1,-4.5146756,4.964846
CAMTA2-AS1,1.717894,2.0054193
CAPN1-AS1,4.5569267,1.8327684
CAPN10-DT,5.148869,2.2877576
CAPN15,5.8634386,2.2622154
CAPS2-AS1,-4.7302227,5.320116
