source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
A1CF	ALG1L7P	A1CF	ALG1L7P	0.4446	0.5023	0.5416	0.3878	0.0000
A1CF	ALOX12P2	A1CF	ALOX12P2	0.3476	0.4184	0.4649	0.3819	0.0000
A1CF	ANKRD65	A1CF	ANKRD65	0.3525	0.2097	0.2517	0.2942	0.0258
A1CF	AP3B2	A1CF	AP3B2	0.3739	0.3235	0.3249	0.5044	0.0005
A1CF	ARHGAP18	A1CF	ARHGAP18	0.4597	0.5918	0.6676	0.4444	0.0000
A1CF	ASAH2B	A1CF	ASAH2B	0.4156	0.6730	0.6806	0.5060	0.0000
A1CF	BCL2L2-PABPN1	A1CF	BCL2L2-PABPN1	0.4459	0.4790	0.4865	0.3188	0.0000
A1CF	BCL9	A1CF	BCL9	0.4466	0.5892	0.6006	0.3887	0.0000
A1CF	BET1-AS1	A1CF	BET1-AS1	0.4740	0.5171	0.5328	0.3349	0.0000
A1CF	C10orf105	A1CF	C10orf105	0.3672	-0.1458	-0.1802	-0.1280	0.1234
A1CF	CA3	A1CF	CA3	0.3849	0.5596	0.5997	0.3860	0.0000
A1CF	CACNA1C-AS1	A1CF	CACNA1C-AS1	0.4298	0.4614	0.5229	0.6428	0.0000
A1CF	CACNA1F	A1CF	CACNA1F	0.4247	0.5167	0.5079	0.3214	0.0000
A1CF	CAMK2D	A1CF	CAMK2D	0.4324	0.4666	0.5578	0.4125	0.0000
A1CF	COL9A1	A1CF	COL9A1	0.3527	0.4451	0.3891	0.4032	0.0000
A1CF	CPQ	A1CF	CPQ	0.3971	0.5303	0.5366	0.2546	0.0000
A1CF	CXCL17	A1CF	CXCL17	0.3851	0.2310	0.2060	0.1729	0.0138
A1CF	DMAC2L	A1CF	DMAC2L	0.4241	0.5275	0.5514	0.2241	0.0000
A1CF	ERV3-1	A1CF	ERV3-1	0.3905	0.4129	0.4568	0.2903	0.0000
A1CF	GAB1	A1CF	GAB1	0.4128	0.5551	0.5479	0.5124	0.0000
A1CF	GALNT2	A1CF	GALNT2	0.4174	0.4974	0.5133	0.2312	0.0000
A1CF	GAS8	A1CF	GAS8	0.3854	0.4744	0.4529	0.5468	0.0000
