source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
A2M-AS1	A2M	A2M-AS1	A2M	0.2927	0.3854	0.4151	0.5722	0.0000
A2M-AS1	AAK1	A2M-AS1	AAK1	0.2691	0.3154	0.3645	0.1962	0.0000
A2M-AS1	ABCA2	A2M-AS1	ABCA2	0.2487	0.2791	0.2637	0.3487	0.0000
A2M-AS1	ABCD2	A2M-AS1	ABCD2	0.3103	0.3737	0.2740	0.3354	0.0000
A2M-AS1	ACSL6	A2M-AS1	ACSL6	0.3151	0.3049	0.3310	0.5382	0.0000
A2M-AS1	ADAM23	A2M-AS1	ADAM23	0.2368	0.2616	0.2725	0.3531	0.0000
A2M-AS1	ADGRG1	A2M-AS1	ADGRG1	0.3209	0.3811	0.4498	0.7115	0.0000
A2M-AS1	ALG10B	A2M-AS1	ALG10B	0.2909	0.3484	0.3657	0.1752	0.0000
A2M-AS1	ARHGAP32	A2M-AS1	ARHGAP32	0.2508	0.3050	0.3346	0.5643	0.0000
A2M-AS1	ARHGEF28	A2M-AS1	ARHGEF28	0.3033	0.3347	0.3110	0.4694	0.0000
A2M-AS1	BMP10	A2M-AS1	BMP10	0.2455	-0.2327	-0.2412	-0.2503	0.0002
A2M-AS1	BTG1P1	A2M-AS1	BTG1P1	0.3011	0.5056	0.5267	0.4998	0.0000
A2M-AS1	CARD6	A2M-AS1	CARD6	0.2556	0.0690	0.0593	0.1087	0.2702
A2M-AS1	CCN6	A2M-AS1	CCN6	0.2501	0.2080	0.2196	0.1151	0.0008
A2M-AS1	CCR5	A2M-AS1	CCR5	0.2981	0.3743	0.3934	0.6052	0.0000
A2M-AS1	CD226	A2M-AS1	CD226	0.2929	0.4123	0.4075	0.4388	0.0000
A2M-AS1	CD247	A2M-AS1	CD247	0.2765	0.3906	0.4125	0.5685	0.0000
A2M-AS1	CD3D	A2M-AS1	CD3D	0.3025	0.4119	0.4478	0.8899	0.0000
A2M-AS1	CD3G	A2M-AS1	CD3G	0.3163	0.4039	0.4539	0.7859	0.0000
A2M-AS1	CDA	A2M-AS1	CDA	0.2781	0.2408	0.2628	0.4277	0.0001
A2M-AS1	CHI3L1	A2M-AS1	CHI3L1	0.2239	0.1248	0.1429	0.2721	0.0457
A2M-AS1	CLDN9	A2M-AS1	CLDN9	0.2184	0.3002	0.2962	0.3146	0.0000
A2M-AS1	CRY1	A2M-AS1	CRY1	0.2710	0.1572	0.1123	0.4118	0.0116
A2M-AS1	CSNK1A1P1	A2M-AS1	CSNK1A1P1	0.3081	0.2977	0.2671	0.3007	0.0000
A2M-AS1	CTBP2	A2M-AS1	CTBP2	0.3092	0.3073	0.3371	0.2746	0.0000
A2M-AS1	CXCR2	A2M-AS1	CXCR2	0.2166	0.2627	0.2903	0.4925	0.0000
A2M-AS1	DLG5	A2M-AS1	DLG5	0.2857	0.4263	0.4160	0.9774	0.0000
A2M-AS1	ELOVL6	A2M-AS1	ELOVL6	0.3093	0.3581	0.3704	0.3392	0.0000
A2M-AS1	EVA1C	A2M-AS1	EVA1C	0.2479	0.3516	0.3844	0.6524	0.0000
