source	target	source.symbol	target.symbol	MI	pearson	spearman	slope	p-value
A1CF	ASAH2	A1CF	ASAH2	0.6103	0.6486	0.7328	0.6804	0.0000
A1CF	ASAH2B	A1CF	ASAH2B	0.5495	0.6283	0.7076	0.4463	0.0000
A1CF	BMS1P1	A1CF	BMS1P1	0.6296	0.6301	0.7030	0.5299	0.0000
A1CF	MIR1302-9HG	A1CF	MIR1302-9HG	0.5584	0.6162	0.7183	0.9026	0.0000
A1CF	PRRX1	A1CF	PRRX1	0.4472	0.4288	0.5468	0.4480	0.0000
A2M	A2M-AS1	A2M	A2M-AS1	0.3039	0.3854	0.4151	0.2597	0.0000
A2M	ATP10A	A2M	ATP10A	0.4135	0.3497	0.3448	0.4599	0.0000
A2M	BTG1P1	A2M	BTG1P1	0.3115	0.3759	0.4092	0.2503	0.0000
A4GALT	ARFGEF3	A4GALT	ARFGEF3	0.2360	0.3048	0.2706	0.2643	0.0000
A4GALT	LINC00930	A4GALT	LINC00930	0.2324	0.2009	0.2079	0.2639	0.0012
AACS	EP400	AACS	EP400	0.6767	0.6834	0.6836	0.5349	0.0000
AACS	GALNT4	AACS	GALNT4	0.5728	0.6052	0.6299	0.7112	0.0000
AACS	LETM1	AACS	LETM1	0.6943	0.7197	0.7276	0.5928	0.0000
AAK1	ARHGAP26	AAK1	ARHGAP26	0.4171	0.5233	0.5496	0.5305	0.0000
AAK1	ATXN3	AAK1	ATXN3	0.4180	0.5010	0.4722	0.3383	0.0000
AAK1	CD3E	AAK1	CD3E	0.5076	0.5126	0.5994	1.5797	0.0000
AAK1	COL6A2	AAK1	COL6A2	0.5289	0.5001	0.5876	1.7858	0.0000
AAK1	DOK6	AAK1	DOK6	0.4672	0.5903	0.5995	1.1647	0.0000
AAK1	EDAR	AAK1	EDAR	0.4176	0.4133	0.4094	0.8576	0.0000
AAK1	HDAC4	AAK1	HDAC4	0.4113	0.5185	0.5328	0.4582	0.0000
AAK1	IL32	AAK1	IL32	0.5486	0.5645	0.6440	1.7694	0.0000
AAK1	ITGA6	AAK1	ITGA6	0.5109	0.4485	0.6464	1.1455	0.0000
AAK1	ITK	AAK1	ITK	0.5229	0.6439	0.6587	1.5064	0.0000
AAK1	KCNC3	AAK1	KCNC3	0.3064	0.3043	0.3621	0.4363	0.0000
AAK1	LMTK3	AAK1	LMTK3	0.3803	0.3789	0.4323	0.8521	0.0000
AAK1	LPAR6	AAK1	LPAR6	0.4655	0.5210	0.5650	0.6972	0.0000
AAK1	MGAT4A	AAK1	MGAT4A	0.5423	0.5660	0.5794	0.8782	0.0000
AAK1	PRKCQ	AAK1	PRKCQ	0.5261	0.4874	0.6143	1.7379	0.0000
AAK1	SBK1	AAK1	SBK1	0.2886	0.3967	0.3904	0.4447	0.0000
AAK1	SEMA4C	AAK1	SEMA4C	0.4957	0.5714	0.6031	0.9313	0.0000
AAK1	TENM1	AAK1	TENM1	0.5427	0.6477	0.6918	2.0767	0.0000
AAK1	TPT1P12	AAK1	TPT1P12	0.3447	0.4142	0.4072	0.7427	0.0000
AANAT	STS	AANAT	STS	0.2898	0.2654	0.2921	0.0844	0.0000
AAR2	ABT1	AAR2	ABT1	0.6373	0.7125	0.6845	0.5316	0.0000
AAR2	ASNSD1	AAR2	ASNSD1	0.9527	0.8414	0.8391	0.8549	0.0000
AAR2	C1D	AAR2	C1D	0.7984	0.7981	0.7660	0.6528	0.0000
