pmcid	pmcidTitle	table	column	description	geneSetSize	nOverlap	oddsRatio	pvalue	adjPvalue	geneSetHash
PMC11721463	BiomiX, a user-friendly bioinformatic tool for democratized analysis and integration of multiomics data	12859_2024_6022_MOESM7_ESM.xlsx	Whole_Mutated_vs_Unmutated_GE-1-X		1138	28	11.398066783831283	9.701248529375958e-25	3.9187109069514304e-19	fadc3e1f-ccbf-5c69-8101-cf41b15f3ba1
PMC11721463	BiomiX, a user-friendly bioinformatic tool for democratized analysis and integration of multiomics data	12859_2024_6022_MOESM7_ESM.xlsx	Whole_Mutated_vs_Unmutated_GE-1-Gene_name		1140	28	11.378070175438596	1.0179910940513476e-24	3.9187109069514304e-19	f3d2f3de-a00d-5b07-9a17-670e5954cd61
PMC5494194	Chromatin accessibility maps of chronic lymphocytic leukaemia identify subtype-specific epigenome signatures and transcription regulatory networks	ncomms11938-s4.xlsx	mCLL-uCLL_diff_expressed_genes-ensembl_gene_identifier	Supplementary Data 3Differentially expressed genes between CLL subtypes. List of differentially expressed genes between three disease subtypes (mCLL, iCLL, uCLL), based on RNA-seq data for representative samples in each subtype	139	11	36.660071942446045	6.2079617278666516e-15	1.5931512875429948e-9	85e25674-00a4-5e8e-a0e7-0109088f395a
PMC4609092	Gene expression and splicing alterations analyzed by high throughput RNA sequencing of chronic lymphocytic leukemia specimens	12885_2015_1708_MOESM6_ESM.xlsx	Sheet1-Unnamed_1		624	16	11.87820512820513	9.040851350534756e-14	1.7401175217786386e-8	0cb0e678-817d-5adf-8ac5-51c99f31221f
PMC4659237	Regulatory network reconstruction reveals genes with prognostic value for chronic lymphocytic leukemia	12864_2015_2189_MOESM1_ESM.xlsx	Supplementary_Table_1-GENE		1226	19	7.1792414355628065	1.7959089363774939e-12	2.7653082538732104e-7	62f39ba4-acf1-5b68-bf13-ac108362fe7b
PMC4659237	Regulatory network reconstruction reveals genes with prognostic value for chronic lymphocytic leukemia	12864_2015_2189_MOESM1_ESM.xlsx	Supplementary_Table_2-Unnamed_4		36	6	77.20833333333333	1.312095898927059e-10	0.00001683618039534754	66d0f7a9-5392-5faf-aa29-dbf1625f13d3
PMC4308916	Identification and characterization of microRNAs from Chinese pollination constant non-astringent persimmon using high-throughput sequencing	12870_2014_400_MOESM1_ESM.xlsx	Top500_increased_var_genes-Unnamed_1		414	10	11.189613526570048	1.4232091449977532e-8	0.0015653084455020932	49557b58-9aef-5712-97bb-070c5aa8cafd
PMC4308895	Higher gene expression variability in the more aggressive subtype of chronic lymphocytic leukemia	13073_2014_125_MOESM2_ESM.xlsx	Top500_increased_var_genes-Unnamed_1		414	10	11.189613526570048	1.4232091449977532e-8	0.0015653084455020932	49557b58-9aef-5712-97bb-070c5aa8cafd
PMC4308916	Identification and characterization of microRNAs from Chinese pollination constant non-astringent persimmon using high-throughput sequencing	12870_2014_400_MOESM1_ESM.xlsx	Top500_increased_var_genes-Column_ICGC_Top_500_genes_with_increased_variability_in_U-CLL_in_the_ICGC_dataset_total_number_of_genes_analyzed_20_474		464	10	9.983836206896552	4.170801616341711e-8	0.00401382828400867	406f0e03-8d98-50bf-89c1-8c102302be51
PMC4308895	Higher gene expression variability in the more aggressive subtype of chronic lymphocytic leukemia	13073_2014_125_MOESM2_ESM.xlsx	Top500_increased_var_genes-Column_ICGC_Top_500_genes_with_increased_variability_in_U-CLL_in_the_ICGC_dataset_total_number_of_genes_analyzed_20_474		464	10	9.983836206896552	4.170801616341711e-8	0.00401382828400867	406f0e03-8d98-50bf-89c1-8c102302be51
