term	CountInEnrichedGSEs	Pvalue	AdjPvalue
Enterocyte Cholesterol Metabolism WP5333	7	0.0000048341364515028794	0.0017789622141530597
RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human	5	0.0004927701217279997	0.08840477661833654
GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human	5	0.0007384986152959998	0.08840477661833654
abnormal neutrophil physiology MP:0002463	12	0.001177339086233953	0.08840477661833654
Anterior/Posterior Pattern Specification (GO:0009952)	10	0.0012011518562273986	0.08840477661833654
Basophil Percentage Of White Cells	8	0.0018361600525167502	0.11261781655436068
Cholesterol Synthesis Disorders WP5193	12	0.002775673155694622	0.13743210435769704
B Cell Receptor Signaling Pathway WP23	9	0.0029876544425586314	0.13743210435769704
Cholesterol Metabolism With Bloch And Kandutsch Russell Pathways WP4718	23	0.004829946057327975	0.1974911276774105
Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)	6	0.007079073696598816	0.25509400567361157
Adolescent Idiopathic Scoliosis	5	0.007625092560895998	0.25509400567361157
Dilatation of the ascending aorta (HP:0005111)	6	0.010012456719567547	0.29177097185074946
B Cell Receptor Signaling Pathway (GO:0050853)	13	0.010307126722988431	0.29177097185074946
Electron Transport Chain OXPHOS System In Mitochondria WP111	9	0.011850831397281561	0.3115075681571153
Phagosome	27	0.014188880644987186	0.32432020097538133
Extracellular Matrix Organization (GO:0030198)	52	0.014854337261547468	0.32432020097538133
Parkinson disease	16	0.01642734908225398	0.32432020097538133
Oxidative phosphorylation	5	0.01781969685299198	0.32432020097538133
Monocyte Percentage Of White Cells	13	0.018274636171367903	0.32432020097538133
MTF2 20144788 ChIP-Seq MESCs Mouse	98	0.018343692507971354	0.32432020097538133
Vertex-wise Cortical Surface Area	50	0.01850740277305165	0.32432020097538133
Sterol Biosynthetic Process (GO:0016126)	9	0.02218003012580233	0.34156759092655653
Periauricular skin pits (HP:0100277)	5	0.022212861022208014	0.34156759092655653
Steroid biosynthesis	11	0.022276147234340644	0.34156759092655653
Cortical Thickness	46	0.02442913405130608	0.3595968532352255
Extrafollicular And Follicular B Cell Activation By SARS CoV 2 WP5218	12	0.026389025253423768	0.37350620358692105
Heart Development WP1591	8	0.02768613828707145	0.3773518107274923
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	14	0.030976699125344762	0.407122331361674
arrested B cell differentiation MP:0001802	23	0.03488422603704214	0.44266879936660364
Secondary Alcohol Biosynthetic Process (GO:1902653)	11	0.039471107514304195	0.480795583775903
Positive Regulation Of Cell Motility (GO:2000147)	20	0.04050180189416574	0.480795583775903
Collagen Fibril Organization (GO:0030199)	9	0.04316833688262311	0.49182934383065813
Diabetic cardiomyopathy	7	0.04410426181090141	0.49182934383065813
Cholesterol Biosynthesis Pathway WP197	16	0.04679624068275639	0.5065004873898339
abnormal B cell differentiation MP:0002144	10	0.048934065669436505	0.5077017894222222
Immunoglobulin Mediated Immune Response (GO:0016064)	5	0.0496664794	0.5077017894222222
Metabolic Pathways Of Fibroblasts WP5312	9	0.05527461825476161	0.549758365344656
AF4 28076791 ChIP-Seq SEM Human Blood Leukemia	18	0.05705351853402961	0.5525182847506025
Hyperextensible skin (HP:0000974)	5	0.06149769184460801	0.5802859127901474
Supramolecular Fiber Organization (GO:0097435)	5	0.06439362786099201	0.5924213763211265
Cholesterol Biosynthetic Process (GO:0006695)	10	0.06905525157301305	0.6011164589595185
Cholinergic synapse	6	0.0708480850646914	0.6011164589595185
Regulation Of Cell Population Proliferation (GO:0042127)	14	0.07256166254706886	0.6011164589595185
Intestinal immune network for IgA production	10	0.07334642232146481	0.6011164589595185
Neuron Projection Guidance (GO:0097485)	14	0.07440050570519763	0.6011164589595185
Educational Attainment (Years Of Education)	5	0.07698336419020801	0.6011164589595185
Rap1 signaling pathway	10	0.07784759780915834	0.6011164589595185
Cell adhesion molecules	21	0.07945198178496651	0.6011164589595185
SOX2 20726797 ChIP-Seq SW620 Human	82	0.08420719135022778	0.6011164589595185
Development Of Ureteric Collection System WP5053	27	0.08451232444950962	0.6011164589595185
Herpes simplex virus 1 infection	77	0.08463814280339889	0.6011164589595185
AF4 26711339 ChIP-Seq SEM Human Blood Leukemia	38	0.0866612336957904	0.6011164589595185
Nuclear Receptors Meta Pathway WP2882	24	0.08730844433070822	0.6011164589595185
ECM-receptor interaction	40	0.08820730647775543	0.6011164589595185
Thick lower lip vermilion (HP:0000179)	6	0.09175639447585007	0.6119606629241968
Broad long bones (HP:0005622)	5	0.09312444870585604	0.6119606629241968
syndactyly MP:0000564	9	0.10028270784720716	0.6407393672047753
X-linked recessive inheritance (HP:0001419)	5	0.10098609591814393	0.6407393672047753
Protein digestion and absorption	5	0.10301838483865594	0.6425553495021252
Regulation of actin cytoskeleton	24	0.1104249845012687	0.6721514296539577
Wormian bones (HP:0002645)	5	0.11141640545894406	0.6721514296539577
Cryptorchidism (HP:0000028)	5	0.11577721588940795	0.6871937975371311
Regulation Of Angiogenesis (GO:0045765)	8	0.12064849141257086	0.6880515820245271
NRF2 31884422 ChIP-Seq A549 Human Lung Carcinoma	8	0.12064849141257086	0.6880515820245271
Synapse Organization (GO:0050808)	11	0.12201783346082652	0.6880515820245271
SUZ12 18692474 ChIP-Seq MESCs Mouse	55	0.12340055547179019	0.6880515820245271
TNF signaling pathway	10	0.13200793045725226	0.7217886399225565
Proteasome Degradation WP183	5	0.13430284068454396	0.7217886399225565
